NAME|BRANCH|ADDR
메가MGC커피|안성공도점|경기도 안성시 공도읍 송원길 23, 102호
메가MGC커피|인천논현에코점|인천광역시 남동구 논고개로 77, 106-107호(논현동)
메가MGC커피|국제성모병원점|인천광역시 서구 탁옥로 105, 107호(심곡동)
메가MGC커피|검단사거리점|인천광역시 서구 완정로 153, 105호(왕길동)
메가MGC커피|미아수유시장점|서울특별시 강북구 솔매로45길 95(미아동)
메가MGC커피|오포점|경기도 광주시 오포읍 양벌로 195-5, 1층
메가MGC커피|현동점|경상남도 창원시 마산합포구 현동4길 5성원빌딩 109호(현동)
메가MGC커피|명지점|부산광역시 강서구 명지국제12로29번길 5
메가MGC커피|동홍동점|제주특별자치도 서귀포시 동홍로 98 ,1층(동홍동)
메가MGC커피|수원매탄점|경기도 광주시 오포읍 양벌로 195-5, 1층
메가MGC커피|위례신도시점|경기도 성남시 수정구 위례광장로 310우성트램타워 A동 1층(창곡동)
메가MGC커피|용인보라동점|경기도 용인시 기흥구 한보라1로 14베스트프라자 108호(보라동)
메가MGC커피|홍천점|강원도 홍천군 홍천읍 홍천로5길 15
메가MGC커피|이수태평점|서울특별시 동작구 동작대로27길 20(사당동)
메가MGC커피|파주문산점|경기도 파주시 문산읍 문향로67번길 2
메가MGC커피|고양화정점|경기도 고양시 덕양구 화신로272번길 38성보월드프라자  1층(화정동)
메가MGC커피|함덕해수욕장점|제주특별자치도 제주시 조천읍 조함해안로 528
메가MGC커피|청라스퀘어7점|인천광역시 서구 청라루비로 76, B167호(청라동)
메가MGC커피|동탄영천점|경기도 화성시 지산1길 11-10, 103호(영천동)
메가MGC커피|가산SKV1점|서울특별시 금천구 가산디지털1로 171, 117호(가산동)
메가MGC커피|제주중문점|제주특별자치도 서귀포시 천제연로 182(중문동)
메가MGC커피|문정아이파크점|서울특별시 송파구 법원로4길 6, 132-2호(문정동)
메가MGC커피|구리갈매점|경기도 구리시 경춘북로 252갈매역아이파크841동 1층 117호(갈매동)
메가MGC커피|영종운서역점|인천광역시 중구 신도시남로142번길 6, 129호(운서동)
메가MGC커피|군포당정점|경기도 군포시 고산로151번길 8당정메디컬빌딩 104호(당정동)
메가MGC커피|전북정읍점|전라북도 정읍시 중앙로 56 금오빌딩 104호(연지동)
메가MGC커피|해운대백병원점|부산광역시 해운대구 좌동순환로 252대원아파트 상가동 103호
메가MGC커피|인천만수점|인천광역시 남동구 담방로 36(만수동)
메가MGC커피|용인에버랜드역점|경기도 용인시 처인구 포곡읍 전대로78번길 22-1
메가MGC커피|수원아주대점|경기도 수원시 영통구 아주로 42(원천동)
메가MGC커피|청라심곡천점|인천광역시 서구 보석로11번안길 11(청라동)
메가MGC커피|루원시티점|인천광역시 서구 봉오재1로 49, 102호(신현동, 루원시티루에블리)
메가MGC커피|청라홍익점|인천광역시 서구 중봉대로586번길 9-4, 114호(청라동)
메가MGC커피|안성진사리점|경기도 안성시 공도읍 진건중길 39, 107호
메가MGC커피|한성대입구역점|서울특별시 성북구 동소문로 9(동소문동1가)
메가MGC커피|인천당하점|인천광역시 서구 청마로167번길 9, 104호(당하동)
메가MGC커피|광주하남2지구점|광주광역시 광산구 용아로379번길 29(산정동)
메가MGC커피|인천마전점|인천광역시 서구 완정로 35, 104호(마전동)
메가MGC커피|남양주호평점|경기도 남양주시 늘을2로 26, 131호(호평동)
메가MGC커피|의정부동오마을점|경기도 의정부시 추동로19번길 7(신곡동)
