NAME|ID|BRANCH|NEW_ADDR|DEATAIL_ADDR|TELL|XCORD|YCORD
아리따움|11042468|분당장안점|경기 성남시 분당구 분당로263번길 35|1층 103호 (서현동,서현굿모닝프라자)|0317036695|127.139768|37.371724
아리따움|11007378|동작 상도점|서울 동작구 성대로|13, 1층(상도동)|028225004|126.9319017|37.4994733
아리따움|11008511|쌍문역점|서울 도봉구 도봉로 473-1|(쌍문동)|029072667|127.0340533|37.6481203
아리따움|11007953|상계역점|서울 노원구 한글비석로22길 24|(중계동)|029345098|127.0736481|37.6605681
아리따움|11088037|신림포도몰점|서울특별시 관악구 신림로 330|B1층 (신림동,포도몰)|028825847|126.929785|37.484061
아리따움|11009246|남양주 별내점|경기 남양주시 별내중앙로 83|3804호 (별내동,동익미라벨17-1호,17-2호)|0315747882|127.113308|37.666293
아리따움|11008570|관악 신림6동점|서울 관악구 호암로26길 1|(신림동)|028893047|126.9326154|37.4714691
아리따움|11008476|홍제역점|서울 서대문구 통일로 439|(홍제동)|023969276|126.9446617|37.5880009
아리따움|11008610|서대문 연희점|서울 서대문구 연희맛로 23|2층 10호 (연희동,연희사러가쇼핑센터)|0232735772|126.9296233|37.5671143
아리따움|11007588|쌍문점|서울 도봉구 해등로 200|(쌍문동)|029059226|127.0344975|37.6582577
아리따움|11074404|경안시장점|경기도 광주시 경안로25번길 7|(경안동)|0317983113|127.257765|37.409269
아리따움|11081363|홍대점|서울시 마포구 홍익로 6길 26|(동교점)|023386097|126.923779|37.555334
아리따움|11061597|홍대역2번출구점|서울특별시 마포구 양화로 165|1층 (동교동, 상진빌딩)|023220249|126.923602|37.557168
아리따움|11007852|인덕원역점|경기 안양시 동안구 인덕원로 35|(관양동)|0314252669|126.9745529|37.4027328
아리따움|11008274|도봉 방학점|서울 도봉구 도봉로145길 14|(방학동)|029540744|127.0417479|37.6646823
아리따움|11008594|보라매공원점|서울 영등포구 여의대방로 65|(신길동)|028319369|126.9134028|37.4971717
아리따움|11075985|난곡점|서울특별시 관악구 난곡로 176,|1층(신림동)|028544911|126.920077|37.470755
아리따움|11007724|강북우이점|서울특별시 도봉구 삼양로 590|101호(쌍문동)|029058441|127.0128816|37.6555219
아리따움|11007958|난곡사거리점|서울 관악구 난곡로 306|(신림동)|028390122|126.9148002|37.4812472
아리따움|11008904|메세나폴리스점|서울 마포구 양화로 45|B동 129호 (서교동,메세나폴리스)|023342322|126.913784|37.55145
아리따움|11007576|인덕원점|경기 안양시 동안구 흥안대로456번길 42|(평촌동)|0314214556|126.9779631|37.3936832
아리따움|11008626|양수리점|경기 양평군 양서면 양수로 153-3|(양수리)|0317746005|127.3188376|37.5444349
아리따움|11077563|영등포지하상가점|서울특별시 영등포구 영중로 지하 20,|영등포로터리지하상가 51호, 52호(영등포동3가)|0226345656|126.906014|37.51768
아리따움|11008118|당산역점|서울 영등포구 당산로 214|(당산동5가,당산삼성래미안)|0226727770|126.904106|37.533518
아리따움|11007354|포일점|경기 의왕시 복지로 92-1|(내손동)|0314241813|126.9806992|37.3858855
아리따움|11007574|관양수촌점|경기 안양시 동안구 관악대로287번길 34|(관양동)|0313826241|126.9547287|37.4043112
아리따움|11053846|수락산역점|서울시 노원구 동일로|1689,105호 (상계동, 하이베라스)|029335454|127.054928|37.679083
아리따움|11065628|영등포당산점|서울특별시 영등포구 양평로 64|1층(당산동6가, 한경빌딩)|0226751005|126.899953|37.535109
아리따움|11009201|구로디지털단지역점|서울 구로구 시흥대로 563|1층 (구로동)|028512951|126.901405|37.483364
아리따움|11007929|응암점|서울 은평구 응암로 184-1|(응암동)|023742345|126.9170763|37.5884553
아리따움|11008443|영등포구청점|서울 영등포구 당산로 126|(당산동3가)|0260532622|126.8968717|37.5258775
아리따움|11009017|금천 남문시장점|서울 금천구 독산로85길 25| (독산동)|028613674|126.901622|37.472846
아리따움|11009085|대림역점|서울 영등포구 도림로 31길 2| (대림동,1층)|0226752911|126.89592|37.492507
아리따움|11007484|불광역점|서울 은평구 통일로 735-1|(대조동)|023899391|126.9290327|37.6110896
아리따움|11009268|평촌점|경기 안양시 동안구 귀인로 198|114호 (평촌동,베스트타운)|0313875485|126.961143|37.385427
아리따움|11087534|응암역점|서울특별시 은평구 은평로 3길 4,|1층(역촌동)|0264033347|126.91488|37.59922
아리따움|11008846|호계포도원점|경기 안양시 동안구 경수대로 428|(호계동)|0314547775|126.9513539|37.3925739
아리따움|11007364|남구로역점|서울 구로구 구로동로26길 127|(구로동)|028665624|126.8911034|37.4898234
아리따움|11009256|범계역점|경기 안양시 동안구 평촌대로223번길 55|(호계동)|0313887897|126.9527257|37.3902083
아리따움|11008729|금천 시흥점|서울 금천구 금하로 631-7|(시흥동)|028098492|126.90119270000002|37.4551051
