##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@NH투자증권
NH투자증권|상무WM센터|126.8490202|35.1565559|NH투자증권|1544-0000|광주광역시 서구 상무중앙로 110||||||||상무WM센터|우체국보험 광주회관빌딩 2층 (치평동)|||40519
NH투자증권|동래WM센터|129.0834098|35.2013431|NH투자증권|1544-0000|부산광역시 동래구 명륜로 83||||||||동래WM센터|4호선 수안역 4번출구;대붕빌딩 8층 (수안동)|||40519
NH투자증권|전주WM센터|127.102512|35.8203142|NH투자증권|1544-0000||전라북도 전주시 완산구 효자동3가 1693-2|||||||전주WM센터|NH농협 전북본부2층|||40519
NH투자증권|강남대로WM센터|127.0296226|37.4925513|NH투자증권|1544-0000|서울특별시 서초구 강남대로 331||||||||강남대로WM센터|지하철(신분당선 강남역 5번출구, 우성아파트앞 사거리방향으로 직진300M);광일빌딩 3층 (서초동)|||40519
NH투자증권|마포WM센터|126.9506983|37.5446147|NH투자증권|1544-0000|서울특별시 마포구 마포대로 109||||||||마포WM센터|5호선 공덕역 2번출구;롯데캐슬 2층 (공덕동)|||40519
NH투자증권|홍대역WM센터|126.9238824|37.5564041|NH투자증권|1544-0000|서울특별시 마포구 양화로 162||||||||홍대역WM센터|2호선 홍대입구역 8번출구;좋은사람들빌딩 5층|||40519
NH투자증권|당진WM센터|126.6344870|36.8973669|NH투자증권|1544-0000|충청남도 당진시 당진중앙2로 211-15||||||||당진WM센터|푸른병원 맞은편 KDB산업은행 2층;서해빌딩 2층 (읍내동)|||40519
NH투자증권|트윈/Branch|126.9292024|37.5278770|NH투자증권|1544-0000|서울특별시 영등포구 여의대로 128||||||||트윈 Branch|5호선 여의나루 1번출구;LG트윈타워 서관 5층 (여의도동)|||40519
NH투자증권|수완WM센터|126.8154606|35.1905143|NH투자증권|1544-0000|광주광역시 광산구 장신로50번길 4||||||||수완WM센터|(장덕동)|||40519
NH투자증권|Premier/Blue/강남센터|127.0365867|37.4997847|NH투자증권|1544-0000|서울특별시 강남구 테헤란로 152||||||||Premier Blue 강남센터|강남파이낸스센터 (GFC) 14층 (역삼동)|||40519
NH투자증권|Premier/Blue/강북센터|126.9777737|37.5684314|NH투자증권|1544-0000|서울특별시 중구 세종대로 136||||||||Premier Blue 강북센터|서울파이낸스센터 (SFC) 26층 (태평로1가)|||40519
NH투자증권|해운대WM센터|129.1324214|35.1703962|NH투자증권|1544-0000|부산광역시 해운대구 센텀동로 9||||||||해운대WM센터|2호선 센텀시티역 2번,4번 출구;(우동,트럼프월드 센텀 2층)|||40519
NH투자증권|영업부법인센터|||NH투자증권|1544-0000|서울특별시 영등포구 여의대로 60||||||||영업부법인센터|(여의도동,NH투자증권빌딩 3층)|||40519
NH투자증권|강북법인센터|||NH투자증권|1544-0000|서울특별시 종로구 세종대로 149||||||||강북법인센터|(세종로 광화문빌딩 10층)|||40519
NH투자증권|농협재단/Branch|126.9301174|37.5220054|NH투자증권|1544-0000|서울특별시 영등포구 국제금융로8길 2||||||||농협재단 Branch|농협재단빌딩 2층 (여의도동)|||40519
NH투자증권|NH금융PLUS/삼성동/Branch|127.0613817|37.5078938|NH투자증권|1544-0000|서울특별시 강남구 테헤란로 522||||||||NH금융PLUS 삼성동 Branch|홍우빌딩 2층 (대치동)|||40519
NH투자증권|BIFC/Branch|129.0652572|35.1467281|NH투자증권|1544-0000|부산광역시 남구 문현금융로 40||||||||BIFC Branch|부산국제금융센터 2층 (문현동)|||40519
NH투자증권|NH금융PLUS/순천/Branch|127.5177635|34.9528241|NH투자증권|1544-0000|전라남도 순천시 이수로 310||||||||NH금융PLUS 순천 Branch|NH농협은행 순천시 지부 1층|||40519
NH투자증권|NH금융PLUS/세종/Branch|127.2625158|36.5069988|NH투자증권|1544-0000|세종특별자치시 한누리대로 486||||||||NH금융PLUS 세종 Branch|NH농협은행 세종영업부 1층|||40519
NH투자증권|강남법인센터|||NH투자증권|1544-0000|서울 강남구 테헤란로 521||||||||강남법인센터|파르나스타워 6층|||40519
