##NAME|SUBNAME|TELNUM|ID|NEWADDR|ADDR|TYPE|ORGNAME|SOURCE2@@식신맛집
피자시즌|||1114286|서울 성동구 성수이로14길 14|서울특별시 성동구 성수동2가 322-4|양식/레스토랑|피자시즌|식신
레몬그라스|||1136819|서울 성동구 연무장길 41-26|서울특별시 성동구 성수동2가 316-22|일식/중식/세계음식|레몬그라스|식신
타마고|||1033225|서울 중구 을지로 88|서울특별시 중구 을지로2가 149-10|일식/중식/세계음식|타마고|식신
이우다이닝|||1112729|서울 성동구 성수일로 57|서울특별시 성동구 성수동1가 16-4|고기/구이류|이우다이닝|식신
아노브|||811293|서울특별시 용산구 대사관로34길 40 |서울특별시 용산구 한남동 618-7|나이트라이프|아노브|식신
기수네/남원전라도집|||633180|서울 성동구 살곶이길 40|서울특별시 성동구 마장동 437|고기/구이류|기수네 남원전라도집|식신
능라도/광화문점|||1129500|서울 종로구 새문안로3길 15|서울특별시 종로구 당주동 128-27|한식|능라도 광화문점|식신
보이어|||1099872|서울특별시 성동구 연무장길 14-2 |서울특별시 성동구 성수동1가 16-26|양식/레스토랑|보이어|식신
대박포차|||836247|서울 용산구 한강대로62길 52|서울특별시 용산구 한강로1가 231-9|나이트라이프|대박포차|식신
하이쿠|||1048272|서울 도봉구 도봉로114길 40|서울특별시 도봉구 창동 657-68|일식/중식/세계음식|하이쿠|식신
타비함박|||808094|서울 서대문구 연희맛로 23|서울특별시 서대문구 연희동 131-1|양식/레스토랑|타비함박|식신
그릴포유|||1116512|서울 은평구 수색로 217|서울특별시 은평구 수색동 75|양식/레스토랑|그릴포유|식신
무니|||1137303|서울 용산구 신흥로20길 37|서울특별시 용산구 후암동 406-58|카페/디저트|무니|식신
