##NAME|SUBNAME|NEWADDR|FEAT|SHOPCODE|X|Y@@GS25
GS25|답십리한양점|서울 동대문구 답십리로182, 1층 (답십리2동 62-19)|cafe25;instant;drug;post;battery;withdrawal|VN794|37.5726685|127.06029862
GS25|답십리한천로점|서울 동대문구 한천로37길23, 1층 (답십리2동 1-174, 창승빌딩)|cafe25;drug;post;battery;withdrawal|VI132|37.5763012|127.06616261
GS25|당감대양점|부산 부산진구 당감서로81 (당감동 751-10)|cafe25;instant;drug;post|VX241|35.16763483|129.03669804
GS25|당감태화현대점|부산 부산진구 가야대로635-13, 노유자시설동 1층 (당감동 123, 당감동태화현대2차아파트)|cafe25;instant;drug;post;withdrawal|VY575|35.15653692|129.04005847
GS25|당감희망점|부산 부산진구 가야대로703번나길4(당감2동 69-8)|drug;post;withdrawal|V8274|35.15819675|129.04827859
GS25|당고개점|서울 노원구 덕릉로126길11, 1층 (상계동 67)|cafe25;instant;drug;post;battery;withdrawal|VX203|37.67063647|127.08178092
GS25|당곡사거리점|서울 관악구 신림로391, 1층 (신림동 1429-1)|drug;battery|VX556|37.48904014|126.92782366
GS25|당리제석로점|부산 사하구 제석로18번길77 (당리동 325-13)|cafe25;drug;post;withdrawal;smart_atm|VY638|35.10252329|128.97520636
GS25|당리제일점|부산 사하구 당리동동원2차베네스트아파트 상가 201동202동|cafe25;instant;drug;post;withdrawal;self_cook|VW036|35.11098279|128.98360018
GS25|당리행운점|부산 사하구 낙동대로450번길2 (당리동 304-3)|cafe25;bakery;instant;drug;post;withdrawal;smart_atm|VI709|35.10540557|128.96986593
GS25|당산NC점|서울 영등포구 양평로49, 1층 (당산동5가 16-1, 대림빌딩)|cafe25;drug;withdrawal|VP872|37.53408867|126.90095176
GS25|당산SK점|서울 영등포구 당산동4가80 당산SKV1센터 E-109-2|cafe25;instant;post;battery;withdrawal|VJ017|37.53084678|126.89825001
GS25|당산강변점|서울 영등포구 버드나루로130, 상가 1층(당산동6가 376, 강변래미안)|drug;post;withdrawal|VM454|37.52982199|126.90821005
GS25|당산계룡점|서울 영등포구 국회대로55길10, 제1층-1  (당산동 121-162)|cafe25;drug;post;withdrawal|VG029|37.52605667|126.9083215
GS25|당산골드점|서울 영등포구 국회대로37길25, 105호 106호 (당산동4가 32-2)|cafe25;instant;drug;post|VX017|37.52905692|126.90052779
GS25|당산공원점|서울 영등포구 양산로19길11 (당산동3가 398-3)|cafe25;drug;post;withdrawal|VN527|37.52536442|126.89492534
GS25|당산금호점|서울 영등포구 국회대로37길15(당산동4가 32-102)|cafe25;instant;drug;post;battery;withdrawal;smart_atm|VX468|37.52834915|126.89999512
GS25|당산대로점|서울 영등포구 당산로32길1-11(당산동3가 190)|drug;post;battery;withdrawal|VY862|37.52699842|126.89718657
GS25|당산대우점|서울 영등포구 당산로30길9, 1층 (당산동3가 223-6)|cafe25;post;withdrawal|VO652|37.52563357|126.89769314
GS25|당산래미안점|서울 영등포구 당산동5가11-1번지 당산삼성래미안 상가 2동 1층 102호|cafe25;post;battery;withdrawal|VM442|37.532081|126.90500912
GS25|당산미래점|서울 영등포구 영등포로106, 102동 106호 (당산동2가 16-1, 대우아파트)|cafe25;instant;drug;post|VQ757|37.52152621|126.89302486
GS25|당산삼성점|서울 영등포구 당산로36길9-2,  103호(당산동4가 32-83)|drug|VG688|37.52812238|126.89886708
GS25|당산새말점|서울 영등포구 영등포로25길5 (당산동1가 24)|cafe25;post;withdrawal|VQ999|37.52158739|126.89763954
GS25|당산쉐르빌점|서울 영등포구 당산로45길1, 상가 110호 (당산동5가 9-2, 쉐르빌)|drug;post;withdrawal|VP249|37.53326526|126.90057915
GS25|당산스타점|서울 영등포구 영신로219,  106호(당산동4가 1-2, 코오롱스타폴리스)|drug;post;battery;withdrawal|VF961|37.52734862|126.90286083
GS25|당산양남점|서울 영등포구 선유동1로12-1(당산동2가 111)|cafe25;instant;drug;post;battery;withdrawal;self_cook|VL132|37.52319109|126.89184634
GS25|당산양평점|서울 영등포구 양평로16, 21번지 대정프라자(당산동6가 216-8)|cafe25;drug;post;battery;withdrawal|VM523|37.53283379|126.90456816
GS25|당산역점|서울 영등포구 양평로64, 1층 (당산동6가 338-1, 한경빌딩)|cafe25;drug;post;battery;withdrawal|VX397|37.53523342|126.90002978
GS25|당산정고을점|서울 영등포구 당산로49길20(당산동6가 350-14)|cafe25;bakery;instant;drug;post;battery;withdrawal|VT323|37.53642447|126.90117772
