##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@현대자동차서비스블루핸즈
현대차블루핸즈|광희점|||현대자동차서비스블루핸즈|0222758204|서울특별시 중구 마른내로 139||||||||현대차블루핸즈 광희점|(광희동1가)|||160405
현대차블루핸즈|괴산점|||현대자동차서비스블루핸즈|043-8330909|충청북도 괴산군 괴산읍동진천길 77||||||||현대차블루핸즈 괴산점||||160405
현대차블루핸즈|괴정점|||현대자동차서비스블루핸즈|042-5350711|대전광역시 서구 갈마로 157||||||||현대차블루핸즈 괴정점|(괴정동)|||160405
현대차블루핸즈|괴정중앙점|||현대자동차서비스블루핸즈|051201-0288|부산광역시 사하구 사하로 152||||||||현대차블루핸즈 괴정중앙점|(괴정동)|||160405
현대차블루핸즈|교동점|||현대자동차서비스블루핸즈|052264-8282|울산광역시 울주군 삼남면 반구대로 604||||||||현대차블루핸즈 교동점||||160405
현대차블루핸즈|교동점|||현대자동차서비스블루핸즈|033-6325232|강원도 속초시 동해대로 4334||||||||현대차블루핸즈 교동점|(교동)|||160405
현대차블루핸즈|교동중부점|||현대자동차서비스블루핸즈|033645-9994|강원도 강릉시 화부산로 62||||||||현대차블루핸즈 교동중부점|(교동)|||160405
현대차블루핸즈|교문자동차공업사|||현대자동차서비스블루핸즈|031-5678291|경기도 구리시 동구릉로200번길 18||||||||현대차블루핸즈 교문자동차공업사|(인창동)|||160405
현대차블루핸즈|교하당하점|||현대자동차서비스블루핸즈|031-9438543|경기도 파주시 천정구로 81-1||||||||현대차블루핸즈 교하당하점|(당하동)|||160405
현대차블루핸즈|구갈점|||현대자동차서비스블루핸즈|031-2832065|경기도 용인시 기흥구 중부대로 523||||||||현대차블루핸즈 구갈점|(구갈동)|||160405
현대차블루핸즈|구례점|||현대자동차서비스블루핸즈|061781-8597|전라남도 구례군 구례읍 용방로 17||||||||현대차블루핸즈 구례점||||160405
현대차블루핸즈|구로남부점|||현대자동차서비스블루핸즈|02-8680033|서울특별시 구로구 도림로 43||||||||현대차블루핸즈 구로남부점|(구로동)|||160405
현대차블루핸즈|구로동부점|||현대자동차서비스블루핸즈|02-8699938|서울특별시 구로구 디지털로32다길 55||||||||현대차블루핸즈 구로동부점|(구로동)|||160405
