##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쌍용자동차서비스프라자
쌍용자동차서비스프라자|수성|||쌍용자동차서비스프라자|||대구광역시 수성구 만촌동 994-14|||||||쌍용자동차서비스프라자 수성|(무열로 63)|||160414
쌍용자동차서비스프라자|수영|||쌍용자동차서비스프라자|||부산광역시 수영구 민락동 30-2|||||||쌍용자동차서비스프라자 수영|(광남로 247)|||160414
쌍용자동차서비스프라자|수지|||쌍용자동차서비스프라자||경기도 용인시 수지구 현암로 27||||||||쌍용자동차서비스프라자 수지||||160414
쌍용자동차서비스프라자|순천|||쌍용자동차서비스프라자|||전라남도 순천시 석현동 13|||||||쌍용자동차서비스프라자 순천|(강변로 925)|||160414
쌍용자동차서비스프라자|숭의|||쌍용자동차서비스프라자|||인천광역시 숭의2동 309-15|||||||쌍용자동차서비스프라자 숭의|(인주대로 63)|||160414
쌍용자동차서비스프라자|시지|||쌍용자동차서비스프라자|||대구광역시 수성구 연호동 154-45|||||||쌍용자동차서비스프라자 시지|(달구벌대로 2882)|||160414
쌍용자동차서비스프라자|시흥|||쌍용자동차서비스프라자||경기도 경기도 시흥시 죽율로 200||||||||쌍용자동차서비스프라자 시흥||||160414
쌍용자동차서비스프라자|신가|||쌍용자동차서비스프라자|||광주광역시 광산구 신가동 999-2|||||||쌍용자동차서비스프라자 신가|(목련로394번길 10-6)|||160414
쌍용자동차서비스프라자|신북|||쌍용자동차서비스프라자||경기도 포천시 신북면 호국로 2462||||||||쌍용자동차서비스프라자 신북||||160414
쌍용자동차서비스프라자|신정|||쌍용자동차서비스프라자|||울산광역시 남구 선암동 566-19|||||||쌍용자동차서비스프라자 신정|(두왕로 98)|||160414
쌍용자동차서비스프라자|신천|||쌍용자동차서비스프라자|||경기도 시흥시 은행동 530-1|||||||쌍용자동차서비스프라자 신천|(은행로155번길 1)|||160414
쌍용자동차서비스프라자|쌍용서비스프라자(무안)|||쌍용자동차서비스프라자||전라남도 무안군 무안읍 공항로 63-13||||||||쌍용자동차서비스프라자 쌍용서비스프라자(무안)||||160414
쌍용자동차서비스프라자|대구북구|||쌍용자동차서비스프라자||대구광역시 대구 북구 학정로 508||||||||쌍용자동차서비스프라자 대구북구||||160414
쌍용자동차서비스프라자|서인천|||쌍용자동차서비스프라자|||인천광역시 서구 경서동 999-1|||||||쌍용자동차서비스프라자 서인천|(도요지로 182)|||160414
쌍용자동차서비스프라자|오정|||쌍용자동차서비스프라자||경기도 경기 부천시 삼작로 184||||||||쌍용자동차서비스프라자 오정||||160414
쌍용자동차서비스프라자|일죽|||쌍용자동차서비스프라자||경기도 경기 안성시 일죽면 금일로 413||||||||쌍용자동차서비스프라자 일죽||||160414
쌍용자동차서비스프라자|청양|||쌍용자동차서비스프라자|||충청남도 청양군 청양읍 교월리 129-2|||||||쌍용자동차서비스프라자 청양||||160414
쌍용자동차서비스프라자|아산|||쌍용자동차서비스프라자|||충청남도 아산시 방축동 19-1|||||||쌍용자동차서비스프라자 아산|(신정로 689)|||160414
쌍용자동차서비스프라자|아중|||쌍용자동차서비스프라자||전라북도 전주시 덕진구 인후동1가821-4 (견훤로 228) ||||||||쌍용자동차서비스프라자 아중||||160414
