##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@식신맛집
우순임원조할머니쭈꾸미||||식신맛집|||인천광역시 동구 만석동 53-4|||||||우순임원조할머니쭈꾸미||||
홀리데이인인천송도호텔/터치스카이루프톱바||||식신맛집||인천광역시 연수구 인천타워대로 251|인천광역시 연수구 송도동 33-1|||||||홀리데이인인천송도호텔 터치스카이루프톱바||||
꼭대기집약수터||||식신맛집||인천 강화군 길상면 장흥로101번길 31-11|인천광역시 강화군 길상면 장흥리 220-3|||||||꼭대기집약수터||||
신신분식||||식신맛집||인천 중구 자유공원로27번길 1|인천광역시 중구 내동 6-39|||||||신신분식||||
할머니즉석떡볶이||||식신맛집||인천광역시 연수구 청량로 235|인천광역시 연수구 옥련동 269-9|||||||할머니즉석떡볶이||||
별미정숯불장어||||식신맛집||인천 강화군 선원면 더리미길 10|인천광역시 강화군 선원면 신정리 323-2|||||||별미정숯불장어||||
비하니||||식신맛집||인천 부평구 광장로24번길 13|인천광역시 부평구 부평동 185-118|||||||비하니||||
삼화정||||식신맛집||인천광역시 남동구 남동대로922번길 14|인천광역시 남동구 간석동 176-5|||||||삼화정||||
조양방직||||식신맛집||인천 강화군 강화읍 향나무길5번길 12|인천광역시 강화군 강화읍 신문리 587|||||||조양방직||||
오구당당||||식신맛집||인천 부평구 경원대로1377번길 47|인천광역시 부평구 부평동 546-83|||||||오구당당||||
갯마을산낙지전문점||||식신맛집||인천광역시 서구 담지로86번길 5-43|인천광역시 서구 청라동 133-14|||||||갯마을산낙지전문점||||
송도국제경양식||||식신맛집||인천 연수구 센트럴로 194|인천광역시 연수구 송도동 23-4|||||||송도국제경양식||||
진두강참장어||||식신맛집||인천광역시 강화군 황청포구로 489|인천광역시 강화군 내가면 황청리 852-10|||||||진두강참장어|진두강참장어|||
금산식당||||식신맛집||인천 연수구 청능대로53번길 24-4|인천광역시 연수구 청학동 483|||||||금산식당||||
서문김밥||||식신맛집||인천광역시 강화군 강화대로430번길 2-1|인천광역시 강화군 강화읍 관청리 529|||||||서문김밥|서문김밥;서문김밥|||
평양옥||||식신맛집|||인천광역시 중구 신흥동3가 18-1|||||||평양옥||||
정든식당||||식신맛집||인천 미추홀구 낙섬서로10번길 21-9|인천광역시 미추홀구 용현동 627-244|||||||정든식당||||
산동포자||||식신맛집||인천광역시 부평구 마장로 75|인천광역시 부평구 십정동 170-46|||||||산동포자||||
연경||||식신맛집||인천광역시 중구 차이나타운로 41|인천광역시 중구 북성동3가 5-1|||||||연경|일동|||
경남횟집||||식신맛집||인천 중구 우현로49번길 25|인천광역시 중구 신포동 9-1|||||||경남횟집||||
복화루||||식신맛집||인천 부평구 부평대로32번길 16|인천광역시 부평구 부평동 211-125|||||||복화루||||
버들정식당||||식신맛집|||인천광역시 연수구 동춘동 815-8|||||||버들정식당||||
청강횟집||||식신맛집||인천광역시 강화군 해안남로2845번길 19-1|인천광역시 강화군 화도면 내리 1829-8|||||||청강횟집||||
삼강설렁탕||||식신맛집||인천 중구 참외전로158번길 1|인천광역시 중구 경동 95-8|||||||삼강설렁탕||||
베트남포다쌀국수||||식신맛집|||인천광역시 부평구 부평동 206-18|||||||베트남포다쌀국수||||
사곶냉면||||식신맛집||인천 남동구 논고개로 253-2|인천광역시 남동구 도림동 346-6|||||||사곶냉면||||
프렌치빌||||식신맛집||인천 중구 신포로 27-1|인천광역시 중구 관동3가 2-5|||||||프렌치빌||||
통영식당||||식신맛집||인천광역시 중구 서해대로458번길 6|인천광역시 중구 신흥동2가 5-7|||||||통영식당||||
전등사죽림다원||||식신맛집||인천 강화군 길상면 전등사로 37-41|인천광역시 강화군 길상면 온수리 635|||||||전등사죽림다원||||
경인면옥||||식신맛집||인천 중구 신포로46번길 38|인천광역시 중구 내동 154|||||||경인면옥||||
에픽||||식신맛집||인천 부평구 경원대로1363번길 8|인천광역시 부평구 부평동 341-30|||||||에픽||||
신포순대||||식신맛집||인천 중구 제물량로166번길 33|인천광역시 중구 신포동 38-1|||||||신포순대||||
궁중삼계탕||||식신맛집||인천 미추홀구 학익소로63번길 23|인천광역시 미추홀구 학익동 37-9|||||||궁중삼계탕||||
복래춘||||식신맛집||인천 중구 차이나타운로55번길 20-1|인천광역시 중구 선린동 10-2|||||||복래춘||||
보광호||||식신맛집||인천광역시 강화군 해안남로619번길 21|인천광역시 강화군 길상면 선두리 1043-11|||||||보광호||||
스시/텐메이||||식신맛집||인천광역시 남동구 미래로 23|인천광역시 남동구 구월동 1132-19|||||||스시 텐메이||||
덕화원||||식신맛집||인천광역시 부평구 원적로315번길 29-1|인천광역시 부평구 산곡동 87-293|||||||덕화원||||
만강홍||||식신맛집||인천 연수구 원인재로 88|인천광역시 연수구 동춘동 925-7|||||||만강홍||||
북경장||||식신맛집|||인천광역시 중구 북성동2가 10-3|||||||북경장||||
솟구쳐차기||||식신맛집||인천광역시 연수구 컨벤시아대로 116|인천광역시 연수구 송도동 22-21|||||||솟구쳐차기||||
