##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@비영리법인
한국문화국제교류운동본부||||비영리법인||서울시 마포구 삼개로 20||사단법인||||||한국문화국제교류운동본부||||210104
한말글||||비영리법인||서울시 구로구 도림천로 344||사단법인||||||한말글|정현빌딩 017호|||210104
사단법인국립한글박물관후원회||||비영리법인||서울특별시 용산구 서빙고로 139||사단법인||||||사단법인국립한글박물관후원회||||210104
한국지역문화콘텐츠연구원||||비영리법인||||사단법인||||||한국지역문화콘텐츠연구원||||210104
한국꽃꽃이협회||||비영리법인|||서울시 마포구 도화동 541|사단법인||||||한국꽃꽃이협회|거성빌딩 304호|||210104
한국복식학회||||비영리법인||서울시 마포구 마포대로 12||사단법인||||||한국복식학회|한신빌딩 1616|||210104
예지원||||비영리법인||서울시 중구 장창단로 72||사단법인||||||예지원||||210104
사계/신독재양선생기념사업회||||비영리법인||서울시 중구 퇴계로 163||사단법인||||||사계 신독재양선생기념사업회||||210104
한국추사체연구회||||비영리법인||서울시 중구 을지로 3가 334-2||사단법인||||||한국추사체연구회||||210104
고려역사선양회||||비영리법인||서울시 동작구 사당로 283||사단법인||||||고려역사선양회||||210104
아시아오페라단||||비영리법인|||서초구 서초3동 1502-9|사단법인||||||아시아오페라단||||210104
서울팝스오케스트라||||비영리법인|||광진구 능동 18|사단법인||||||서울팝스오케스트라|어린이대공원내 숲속의무대|||210104
국제음악애호가협회||||비영리법인|||강서구 등촌동 684-1|사단법인||||||국제음악애호가협회|에이스 테크노타워 403호|||210104
세계평화미술대전조직위원회||||비영리법인||서울시 종로구 평창문화로 75||사단법인||||||세계평화미술대전조직위원회|글로리아타운A동 402호|||210104
미래문화||||비영리법인||서울시 강남구 선릉로155길 3||사단법인||||||미래문화|(신사동)|||210104
국제문화예술평화협회||||비영리법인||서울시 중구 영등포구 국회대로70길 7||사단법인||||||국제문화예술평화협회|412호 (여의도동,동아빌딩)|||210104
동아시아문화교류협회||||비영리법인||서울시 강남구 테헤란로4길 28||사단법인||||||동아시아문화교류협회|14층 5호 (역삼동)|||210104
한국노년문화교류협회||||비영리법인||서울시 마포구 대흥로24바길 36-16||사단법인||||||한국노년문화교류협회||||210104
한중사상문화연구소||||비영리법인||광주광역시 동구 동명로 110번길 11||사단법인||||||한중사상문화연구소|(지산동)|||210104
한국/아시아문화친선교류협회||||비영리법인||서울시 중구 퇴계로 217||사단법인||||||한국 아시아문화친선교류협회|1동 558호 (충무로4가,진양상가)|||210104
국제문화예술협회||||비영리법인||서울 강남구 봉은사로30길 42||사단법인||||||국제문화예술협회|비202호 (역삼동,얀텍스빌딩)|||210104
한외국인친선문화협회*기존/법인현황에서/단체/누락||||비영리법인||서울 중구 을지로 30||사단법인||||||한외국인친선문화협회*기존 법인현황에서 단체 누락|(소공동) 롯데호텔 본관 6층|||210104
동방문화발전교류협회||||비영리법인||서울시 마포구 월드컵북로 44길 29||사단법인||||||동방문화발전교류협회|(상암동) 4층|||210104
동북아비전21||||비영리법인||인천광역시 남구 인하로 100||사단법인||||||동북아비전21|(용현동) 인하대학교 문과대학 5남 104호|||210104
한국문화교류회||||비영리법인||서울시 용산구 이태원로27길 49||사단법인||||||한국문화교류회|(이태원동)|||210104
한/중문화예술포럼||||비영리법인||서울시 서초구 논현로 87||사단법인||||||한 중문화예술포럼|1607호 (양재동)|||210104
국제펜클럽한국본부||||비영리법인|||영등포구 여의도동 13-5|사단법인||||||국제펜클럽한국본부|오성빌딩 1105 (우: 07238)|||210104
한국통번역사협회||||비영리법인||서울 강남구 남부순환로 2728||사단법인||||||한국통번역사협회|유일빌딩 5층 (도곡동)|||210104
아시아문화교류협회||||비영리법인||서울시 서초구 논현로 79||사단법인||||||아시아문화교류협회|903호 (양재동,윈드스톤빌딩)|||210104
한중문화우호협회||||비영리법인||서울시 마포구 독막로 93||사단법인||||||한중문화우호협회|3층 (상수동)|||210104
한국과세계문화교류협회||||비영리법인||서울시 영등포구 영등포로 143||사단법인||||||한국과세계문화교류협회|601호 (당산동1가,호성빌딩)|||210104
아시아민족음악교류협회||||비영리법인||광주광역시 서구 화정로 274||사단법인||||||아시아민족음악교류협회|(농성동)|||210104
인터아시아문화학회||||비영리법인||서울시 종로구 경희궁1길 5||사단법인||||||인터아시아문화학회|(신문로2가)|||210104
국제문화도시교류협회||||비영리법인||경기도 파주시 광인사길 25||사단법인||||||국제문화도시교류협회||||210104
중화국제문화교류협회||||비영리법인||서울특별시 강남구 도산대로 213||사단법인||||||중화국제문화교류협회|401호 (신사동)|||210104
한국문화예술교류협회||||비영리법인||서울시 종로구 새문안로3길 36||사단법인||||||한국문화예술교류협회|516호 (내수동,용비어천가)|||210104
고운국제교류사업회||||비영리법인||서울 종로구 율곡로6길 36||사단법인||||||고운국제교류사업회|3층 301호 (운니동,오피스텔월드)|||210104
서울공자아카데미||||비영리법인||서울 강남구 테헤란로5길 24||사단법인||||||(사)서울공자아카데미|3층 (역삼동,장연빌딩)|||210104
알타이문화포럼||||비영리법인||서울시 종로구 종로 19||사단법인||||||(사)알타이문화포럼|비동 1616호 (종로1가,르메이에르종로타운)|||210104
국제통역번역협회||||비영리법인||서울시 서초구 서초대로 78길 36||사단법인||||||(사)국제통역번역협회|강남G웰타워 6층|||210104
한중문화관광미디어총연합회||||비영리법인||서울 영등포구 국회대로68길 11||사단법인||||||한중문화관광미디어총연합회|(여의도동) 삼보호정빌딩 8층|||210104
아시아비즈니스문화교류협회||||비영리법인||서울시 강남구 언주로 533||사단법인||||||(사)아시아비즈니스문화교류협회|3층 (역삼동,녹원빌딩)|||210104
국제스트릿댄스협회||||비영리법인||서울특별시 강남구 테헤란로13길 8-13||사단법인||||||(사)국제스트릿댄스협회|6층 603호 (역삼동,동영빌딩)|||210104
하얀코끼리||||비영리법인||서울시 종로구 계동길 115-6||사단법인||||||(사)하얀코끼리|(계동)|||210104
월드브릿지오브컬처||||비영리법인||서울시 동작구 동작대로 39길 22||사단법인||||||(사)월드브릿지오브컬처|에비뉴빌딩 2층 (동작동)|||210104
한중문화교류중심||||비영리법인||서울시 은평구 통일로67길 1||사단법인||||||(사)한중문화교류중심|1층 (대조동)|||210104
한국청소년미술협회||||비영리법인|||종로구 체부동 28-2|사단법인||||||한국청소년미술협회|(우: 03040)|||210104
한국문화예술국제교류협회||||비영리법인|||서울시 강남구 논현동 101-16|사단법인||||||(사)한국문화예술국제교류협회|주영빌딩 6층|||210104
국제문화협력지원센터||||비영리법인||서울시 영등포구 국회대로 74길 20||사단법인||||||(사)국제문화협력지원센터|맨하탄21리빙텔 610호|||210104
국가브랜드진흥원||||비영리법인||서울 서대문구 신촌로 195||사단법인||||||(사)국가브랜드진흥원|201호 (대현동)|||210104
한국예술문화단체총연합회(예총)||||비영리법인|||양천구 목동 923-6|사단법인||||||한국예술문화단체총연합회(예총)|예술인센터 9층 (우: 17995)|||210104
한국문인협회||||비영리법인|||양천구 목1동 923-6|사단법인||||||한국문인협회|예술인센터 1017호 (우: 17995)|||210104
한국예술문화진흥회||||비영리법인||대전시 중구 계백로 1719||사단법인||||||한국예술문화진흥회|605호 센트리아 오피스텔 (우: 34909)|||210104
국제서법예술연합한국본부||||비영리법인|||종로구 낙원동 58-1|사단법인||||||국제서법예술연합한국본부|종로오피스텔 703호 (우: 03132)|||210104
어린이문화진흥회||||비영리법인||마포구 동교로 114||사단법인||||||어린이문화진흥회|서교동 태복빌딩 301호 (우: 04029)|||210104
한국참전예술인협회||||비영리법인|||종로구 돈의동 45-1|사단법인||||||한국참전예술인협회|삼덕빌딩 205호 (우: 03133)|||210104
한국민족예술단체총연합(민예총)||||비영리법인||서울특별시 마포구 망원로8길 74||사단법인||||||한국민족예술단체총연합(민예총)||||210104
한국작가회의||||비영리법인||마포구 토정로 304||사단법인||||||한국작가회의|용현빌딩 304호 (우: 04165 )|||210104
국가보훈문화예술협회||||비영리법인|||종로구 낙원동 94|사단법인||||||국가보훈문화예술협회|태종빌딩 403호 (우: 110-320)|||210104
한국소설가협회||||비영리법인||용산구 소월길 109||사단법인||||||한국소설가협회|남산도서관 2층 (우:04340)|||210104
시사랑문화인협의회||||비영리법인||성북구 성북로4길 52||사단법인||||||시사랑문화인협의회|106동,1505호 한신APT (우: 02831)|||210104
디지털문화예술아카데미||||비영리법인|||마포구 서교동 377-26|사단법인||||||디지털문화예술아카데미|2층 (우: 04034)|||210104
한국희곡작가협회||||비영리법인||종로구 성균관로5길 21||사단법인||||||한국희곡작가협회|(우: 03073)|||210104
한국시인협회||||비영리법인|||종로구 운니동 65-1|사단법인||||||한국시인협회|월드 오피스텔 1006호 (우: 03131)|||210104
한국여성문화예술인총연합||||비영리법인|||종로구 연지동 95-1|사단법인||||||한국여성문화예술인총연합|연금빌딩 502호 (우: 03128)|||210104
한국현대시인협회||||비영리법인||마포구 월드컵북로 9길 , 18||사단법인||||||한국현대시인협회|남평빌딩 301호 (우: 03999)|||210104
실험예술가협회||||비영리법인|||서울시 마포구 서교동 396-58|사단법인||||||실험예술가협회|(우: 04047)|||210104
조병화시인기념사업회||||비영리법인||서울시 종로구 혜화로 2길 , 6||사단법인||||||조병화시인기념사업회|(우:03076)|||210104
구상선생기념사업회||||비영리법인||서울시 마포구 마포대로 12||사단법인||||||구상선생기념사업회|한신빌딩 1508호 (우: 04175)|||210104
세계문인협회||||비영리법인||서울시 무악봉28길 6||사단법인||||||(사)세계문인협회|금룡빌딩 2층 (우:04714)|||210104
한국예술경영학회||||비영리법인||서울시 성북구 화랑로 32길 146-37||사단법인||||||한국예술경영학회|한국예술종합학교 연극원 402호|||210104
한국메세나협회||||비영리법인||서울시 영등포구 은행로 37||사단법인||||||한국메세나협회|기계산업진흥회 본관 6층 (우:07238)|||210104
한국예술문화원||||비영리법인||서울 종로구 사직로 8길 3||사단법인||||||한국예술문화원||||210104
국제문화예술친선협회||||비영리법인|||서울 마포구 서교동 354-10|사단법인||||||국제문화예술친선협회||||210104
아시아페이스페인팅협회||||비영리법인|||서울 강남구 개포4동 1207-11|사단법인||||||아시아페이스페인팅협회|남도빌딩|||210104
월드휴먼케어||||비영리법인||서울 마포구 만리재로 43||사단법인||||||월드휴먼케어|근영빌딩 3층|||210104
만다라미술심리연구원||||비영리법인||서울 종로구 자하문로 38길 7||사단법인||||||만다라미술심리연구원|3층|||210104
국제장애인문화교류협회||||비영리법인||서울 동대문구 왕산로 81||사단법인||||||국제장애인문화교류협회|두산베어스타워 204호|||210104
장애인문화예술진흥개발원||||비영리법인||서울시 서초구 서초대로 51길 22||사단법인||||||장애인문화예술진흥개발원|명산빌딩|||210104
세계장애인문화복지진흥회||||비영리법인||서울시 영등포구 신길 6동 4334||사단법인||||||세계장애인문화복지진흥회||||210104
우리들의/눈||||비영리법인||서울시 종로구 북촌로5나길 19||사단법인||||||우리들의 눈|(화동)|||210104
수레바퀴재활문화진흥회||||비영리법인||서울시 양천구 목동로23길 34||사단법인||||||수레바퀴재활문화진흥회||||210104
한국청소년공연예술진흥회||||비영리법인|||종로구 혜화동 64-1|사단법인||||||한국청소년공연예술진흥회|태림빌딩 4층|||210104
한국청각장애인예술협회||||비영리법인||서울시 서초구언남길 79||사단법인||||||한국청각장애인예술협회|(양재동)|||210104
열린세상국민문화운동본부||||비영리법인||서울시 송파구 오금로23길 27||사단법인||||||열린세상국민문화운동본부|(방이동)|||210104
한국장애인문화협회||||비영리법인||서울시 구로구 디지털로 273||사단법인||||||한국장애인문화협회|에이스트윈타워 2차 904호|||210104
빛소리/친구들||||비영리법인||서울특별시 서초구 남부순환로315길 2||사단법인||||||빛소리 친구들|두경빌딩|||210104
한국장애예술인협회||||비영리법인||서울시 금천구 서부샛길 606||사단법인||||||한국장애예술인협회|대성디폴리스 B-1502|||210104
한국장애인서예협회||||비영리법인||서울시 구로구 가마산로 279||사단법인||||||한국장애인서예협회|803호 (구로동,동남오피스텔)|||210104
꿈틔움||||비영리법인||서울시 용산구 백범로 340-1||사단법인||||||꿈틔움|우주빌딩 7층|||210104
한국시각장애인공연예술단||||비영리법인||서울시 강북구 삼양로 73가길 47||사단법인||||||한국시각장애인공연예술단|(수유동)|||210104
한국장애인문화예술단체총연합회||||비영리법인||서울시 은평구 수색로 217-1||사단법인||||||한국장애인문화예술단체총연합회|(증산동 DMC 자이2단지 407호)|||210104
한국곡예협회||||비영리법인|||중구 신당4동 842|사단법인||||||한국곡예협회|약수하이츠 111-604|||210104
한국음악협회||||비영리법인||서울특별시 양천구 목동서로 225||사단법인||||||한국음악협회|1019호 (목동,예술인회관)|||210104
한국연극협회||||비영리법인|||서울시 양천구 목동 923-6|사단법인||||||한국연극협회|예술인센터 8층|||210104
한국공연기획제작가협회||||비영리법인|||마포구 도화동 51-1|사단법인||||||한국공연기획제작가협회|서웅우빌딩 803호|||210104
한국작곡가협회||||비영리법인|||종로구 연건동 86|사단법인||||||한국작곡가협회|3층|||210104
한국조명가협회||||비영리법인|||서울시 종로구 동숭동 50-6|사단법인||||||한국조명가협회||||210104
국제문화예술협회한국위원회||||비영리법인|||종로구 명륜동2가 8-30|사단법인||||||국제문화예술협회한국위원회||||210104
한국현대무용진흥회||||비영리법인|||마포구 창전동 6-237|사단법인||||||한국현대무용진흥회||||210104
금강문화연구원||||비영리법인|||전북 전주시 완산구 풍납동 3가 53-3|사단법인||||||금강문화연구원||||210104
서울심포니오케스트라||||비영리법인|||서초구 서초동 700|사단법인||||||서울심포니오케스트라|예술의전당 내|||210104
한국발레연구학회||||비영리법인|||서초구 서초동 1535-3|사단법인||||||한국발레연구학회|선흥빌딩|||210104
김자경오페라단||||비영리법인|||서대문구 신촌동 24-3|사단법인||||||김자경오페라단||||210104
웃는돌||||비영리법인|||경기도 안성시 죽산면 용설리 775|사단법인||||||웃는돌||||210104
동방문화예술교류협회||||비영리법인|||영등포구 여의도동 17-9|사단법인||||||동방문화예술교류협회|잠사회관 902호|||210104
대구필하모닉오케스트라||||비영리법인|||대구시 남구 대명2동 1800-21|사단법인||||||대구필하모닉오케스트라||||210104
무궁화예술단||||비영리법인|||경남 양산시 동면 석산리 300|사단법인||||||무궁화예술단|극동 (아) 8동 상가 204호|||210104
국제예술문화원||||비영리법인|||부산시 부산진구 부전1동 474-80|사단법인||||||국제예술문화원|유원오피스텔1810호|||210104
가원국제음악문화회||||비영리법인|||강남구 역삼동 705-1|사단법인||||||가원국제음악문화회|빅토리아 빌딩 113호|||210104
신세대문화예술교류단||||비영리법인|||영등포구 여의도동 63-1|사단법인||||||신세대문화예술교류단|라이프오피스텔 1008호|||210104
청소년문화개발원||||비영리법인|||관악구 봉천동 711-4|사단법인||||||청소년문화개발원|세영빌딩|||210104
국제청소년문화협회||||비영리법인||서울특별시 영등포구 영중로 28||사단법인||||||국제청소년문화협회|1415호 (영등포동3가)|||210104
한국청소년사랑회||||비영리법인|||충남 천안시 신부동 481|사단법인||||||한국청소년사랑회|주공2단지아파트 복합상가 201호|||210104
호남오페라단||||비영리법인|||전북 전주시 덕진구 서노송동 568-134|사단법인||||||호남오페라단||||210104
고려문화예술||||비영리법인|||동작구 상도동 58-7|사단법인||||||고려문화예술|세원빌딩 302호|||210104
한국문화예술회관연합회||||비영리법인|||서초구 서초동 700|사단법인||||||한국문화예술회관연합회|예술의전당 내|||210104
여의도예술문화||||비영리법인|||영등포구 여의도동 12|사단법인||||||여의도예술문화|국민일보빌딩 708호|||210104
한국공연예술원||||비영리법인|||종로구 연지동 1-1|사단법인||||||한국공연예술원|여전도회관 405호|||210104
서울무용예술아카데미||||비영리법인|||광진구 광장동 102|사단법인||||||서울무용예술아카데미|현대골든텔 2-301|||210104
한국페스티발앙상블||||비영리법인|||강남구 역삼동 837-11|사단법인||||||한국페스티발앙상블|유니온센터BD 812|||210104
비하우스첼로앙상블||||비영리법인|||서초구 반포본동 1313|사단법인||||||비하우스첼로앙상블|반포베어스 플라자 4층 402호|||210104
아시아필하모닉오케스트라||||비영리법인|||강남구 논현동 222-2|사단법인||||||아시아필하모닉오케스트라|이목빌딩 2층|||210104
서울발레시어터||||비영리법인|||경기 과천시 중앙동 6-2|사단법인||||||서울발레시어터|과천시민회관|||210104
미라클오브뮤직||||비영리법인|||강남구 논현동 222-2|사단법인||||||미라클오브뮤직|이목빌딩 2층|||210104
한국발레협회||||비영리법인|||강남구 역삼동 현대역삼벤처텔806호 |사단법인||||||한국발레협회||||210104
중앙무용문화연구원||||비영리법인|||금천구 가산동 327-24|사단법인||||||중앙무용문화연구원|대륭테크노타운501호|||210104
국제아동청소년연극협회한국본부||||비영리법인|||종로구 동숭동 50-34|사단법인||||||국제아동청소년연극협회한국본부|1층|||210104
뉴서울필하모닉오케스트라||||비영리법인|||강남구 삼성동 159|사단법인||||||뉴서울필하모닉오케스트라|코엑스몰 아셈타워 B1-07호|||210104
강화자베세토오페라단||||비영리법인|||서초구 방배동 850-31|사단법인||||||강화자베세토오페라단||||210104
대한무용학회||||비영리법인|||종로구 명륜동 3가 성균관대내 |사단법인||||||대한무용학회||||210104
영재문화예술진흥회||||비영리법인|||서초구 서초동 1485-2|사단법인||||||영재문화예술진흥회|구진빌딩 307호|||210104
글로리아오페라단||||비영리법인|||강남구 신사동 600-5|사단법인||||||글로리아오페라단|글로리아빌딩 4층|||210104
아시아태평양아동청소년/공연예술/프로듀서/네트웍/한국본부||||비영리법인|||종로구 동숭동 1-54|사단법인||||||아시아태평양아동청소년 공연예술 프로듀서 네트웍 한국본부|백암빌딩 5층|||210104
불교음악협회||||비영리법인|||종로구 수송동 46-22|사단법인||||||불교음악협회|조계사 교육회관 3층|||210104
연극배우협회||||비영리법인|||종로구 동숭동 31-9|사단법인||||||연극배우협회||||210104
아름다운/세상||||비영리법인|||서초구 양재동 377-5|사단법인||||||아름다운 세상|5층|||210104
한국오페라단||||비영리법인|||서초구 서초동 1338-21|사단법인||||||한국오페라단|코리아비즈니스센터 409|||210104
리을춤연구원||||비영리법인|||동대문구 장안동 465-15|사단법인||||||리을춤연구원|백상빌딩 401호|||210104
코리언발레씨어터||||비영리법인|||강남구 일원동 644-3|사단법인||||||코리언발레씨어터||||210104
서울그랜드오페라단||||비영리법인|||강남구 역삼동 683-26|사단법인||||||서울그랜드오페라단|선릉빌딩 602호|||210104
삼보불교음악협회||||비영리법인|||종로구 관훈동 177|사단법인||||||삼보불교음악협회|대형빌딩303|||210104
조승미발레단||||비영리법인|||성동구 옥수동 284-14|사단법인||||||조승미발레단|동호빌딩|||210104
전국소공연장연합회||||비영리법인|||종로구 연건동 178-1|사단법인||||||전국소공연장연합회|대학로극장 내|||210104
서울뮤지컬진흥회||||비영리법인||용산구 원효로 4가 96-5||사단법인||||||서울뮤지컬진흥회||||210104
세종예술음악협회||||비영리법인|||서초구 방배동 953-1|사단법인||||||세종예술음악협회|2층|||210104
거창연극제육성진흥회||||비영리법인|||경남 거창군 위천면 황산리 수승대내 |사단법인||||||거창연극제육성진흥회||||210104
무대예술전문인협회||||비영리법인|||종로구 세종로 81-3|사단법인||||||무대예술전문인협회||||210104
음악사랑운동본부||||비영리법인|||광진구 구의동 235-32|사단법인||||||음악사랑운동본부|B1|||210104
피레미에필하모닉오케스트라||||비영리법인|||서초구 염곡동 180-2|사단법인||||||피레미에필하모닉오케스트라|서초주니어센터 음악당 내|||210104
한국지휘자협회||||비영리법인||||사단법인||||||한국지휘자협회|한국예술 종합학교 음악원 308호|||210104
밀물현대무용단||||비영리법인|||강남구 개포4동 1166|사단법인||||||밀물현대무용단||||210104
한국분장예술인협회||||비영리법인|||강남구 신사동 569-20|사단법인||||||한국분장예술인협회|성립빌딩 3층|||210104
한국대중문화예술진흥회||||비영리법인|||영등포구 여의도동 61-3|사단법인||||||한국대중문화예술진흥회|라이프오피스텔541호|||210104
강원오페라단||||비영리법인|||중구 저동 2가 73-6|사단법인||||||강원오페라단|저동 빌딩 3층|||210104
서울로얄심포니오케스트라||||비영리법인|||서초구 잠원동 45-14|사단법인||||||서울로얄심포니오케스트라|남강빌딩|||210104
서울튜티앙상블||||비영리법인|||강남구 삼성2동 8-1|사단법인||||||서울튜티앙상블|401-1호|||210104
철도지하철예술진흥연구원||||비영리법인|||동작구 사당동 144-4|사단법인||||||철도지하철예술진흥연구원|이수역 지하1층|||210104
유라시안필하모닉오케스트라||||비영리법인|||서초구 반포4동 산60-1|사단법인||||||유라시안필하모닉오케스트라|국립중앙도서관내|||210104
뉴서울오페라단||||비영리법인|||강남구 청담동 68-19|사단법인||||||뉴서울오페라단|리버뷰오피스텔604호|||210104
코리아태권도예술단||||비영리법인|||송파구 잠실동 191-5|사단법인||||||코리아태권도예술단|운관빌딩 4층|||210104
베누스토음악인연합회||||비영리법인|||서초구 서초동 1358-5|사단법인||||||베누스토음악인연합회|지층|||210104
한국민족극운동협회||||비영리법인|||서울시 성북구 성북동 184-37|사단법인||||||한국민족극운동협회|3층|||210104
서울바로크합주단||||비영리법인|||서초구 반포동 97-3|사단법인||||||서울바로크합주단|범산빌딩 301|||210104
한국마술협회||||비영리법인|||서초구 방배동 871-7예은빌딩 |사단법인||||||한국마술협회||||210104
한국합창조직위원회||||비영리법인|||부산시 남구 대연 4동 848-4|사단법인||||||한국합창조직위원회|부산문화회관|||210104
한국살사협회||||비영리법인|||광주 북구 두암3동 949-3|사단법인||||||한국살사협회|2층|||210104
청소년수호천사문화예술진흥회||||비영리법인|||송파구 송파동 116-9|사단법인||||||청소년수호천사문화예술진흥회||||210104
한국교사연극협회||||비영리법인|||마포구 중동 64-25|사단법인||||||한국교사연극협회|성산현대상가 406호|||210104
최승희춤연구회||||비영리법인|||강남구 도곡동 103-12|사단법인||||||최승희춤연구회|카도빌딩 3층|||210104
한국민족음악가연합||||비영리법인|||종로구 낙원동 235-5|사단법인||||||한국민족음악가연합||||210104
예모임||||비영리법인|||서초구 양재2동 291-16|사단법인||||||예모임|마승빌딩 7층|||210104
한국미술협회||||비영리법인|||종로구 동숭동 1-97|사단법인||||||한국미술협회|스타리움 빌딩 5층 (우: 03086)|||210104
통일문화/예술원||||비영리법인|||관악구 남현동 1056-7|사단법인||||||통일문화 예술원|태양빌딩 5층|||210104
한국합창총연합회||||비영리법인|||중구 신당 4동 333-130|사단법인||||||한국합창총연합회||||210104
한국델픽위원회||||비영리법인|||용산구 한남동 736-5|사단법인||||||한국델픽위원회||||210104
한국현대무용협회||||비영리법인|||종로구 동숭동 1-65|사단법인||||||한국현대무용협회|해안빌딩 701호|||210104
한국뮤지컬협회||||비영리법인|||종로구 동숭동 25-7|사단법인||||||한국뮤지컬협회||||210104
한국여성작곡가회||||비영리법인|||서초구 잠원동 46-3|사단법인||||||한국여성작곡가회||||210104
무용문화포럼||||비영리법인|||강남구 신사동 638-8|사단법인||||||무용문화포럼|구정빌딩 4층|||210104
한국비보이협회||||비영리법인|||강남구 신사동 595-1|사단법인||||||한국비보이협회|안국빌딩 307호|||210104
우리춤협회||||비영리법인||서울특별시 송파구 오금로 17길 13||사단법인||||||우리춤협회|1001호 (방이동,아크로빌)|||210104
무용가최승희기념사업설명회||||비영리법인|||마포구 서교동 447-4|사단법인||||||무용가최승희기념사업설명회|강원도민 회관 504호|||210104
한국라인댄스협회||||비영리법인|||마포구 창전동 6-237|사단법인||||||(사)한국라인댄스협회||||210104
한국아르헨티나땅고협회||||비영리법인|||강남구 신사동 506-1|사단법인||||||한국아르헨티나땅고협회||||210104
김백봉춤연구회||||비영리법인|||양천구 신정동 119-10|사단법인||||||김백봉춤연구회||||210104
동양서예연구회||||비영리법인|||부산시 기장군 기장읍 대변리 277-1|사단법인||||||동양서예연구회|OK B/D 6층 (우: 46079)|||210104
대한민국오페라단협회||||비영리법인|||서초구 방배3동 삼성래미안 방배아트힐102-1201 |사단법인||||||대한민국오페라단협회||||210104
예술산업/진흥회||||비영리법인|||마포구 성산동 228-10|사단법인||||||예술산업 진흥회|서교빌딩4층|||210104
부암뮤직소사이어티||||비영리법인|||종로구 부암동 208-71|사단법인||||||부암뮤직소사이어티||||210104
한국국악협회||||비영리법인|||서울시 종로구 익선동 33-23|사단법인||||||한국국악협회||||210104
대한시조협회||||비영리법인|||동작구 신대방 1동 697-27|사단법인||||||대한시조협회||||210104
국제아세아민속학회||||비영리법인|||종로구 안국동 175-57|사단법인||||||국제아세아민속학회||||210104
민족음악원||||비영리법인|||충남 예산군 오가면 양막리 71-5|사단법인||||||민족음악원||||210104
한국전통연희단체총연합회||||비영리법인|||중구 흥인동 충무아트홀 지하1층 |사단법인||||||한국전통연희단체총연합회||||210104
지라니문화사업단||||비영리법인|||용산구 청파동 2가 101-4|사단법인||||||(사)지라니문화사업단|국네이버스 5층|||210104
유니버설공연예술협회||||비영리법인|||서초구 서초3동 1485-3|사단법인||||||(사)유니버설공연예술협회|승정빌딩 401호|||210104
사단법인/한국동요문화협회||||비영리법인|||광진구 구의동 231-7|사단법인||||||사단법인 한국동요문화협회||||210104
사단법인/한국전통예술발전협의회||||비영리법인|||종로구 와룡동 97-1|사단법인||||||사단법인 한국전통예술발전협의회|신흥빌딩 4층|||210104
문화예술교육협회||||비영리법인|||서울시 영등포구 여의도동 13-2|사단법인||||||문화예술교육협회|삼보빌딩 206호|||210104
대한하모니카협회||||비영리법인|||동대문구 청량리동 753|사단법인||||||대한하모니카협회|동원빌딩 5층|||210104
한국시각장애인공연예술단||||비영리법인|||서울특별시 강북구 수유1동 한빛맹학교 자립관 3층 |사단법인||||||한국시각장애인공연예술단||||210104
한국소극장오페라연합회||||비영리법인|||서울특별시 강남구 논현동 50-7|사단법인||||||한국소극장오페라연합회|진빌딩 4층|||210104
한국생활음악협회||||비영리법인|||충남 천안시 동남구 신부동 473-15|사단법인||||||한국생활음악협회|(1층)|||210104
서울국제문화교류회||||비영리법인|||서울시 서초구 방배동 1007-2|사단법인||||||서울국제문화교류회|새빛빌딩 2층 201호|||210104
한국전통예악총연합회||||비영리법인|||구로구 구로동 26|사단법인||||||(사)한국전통예악총연합회|신도림포스빌오피스텔405호|||210104
대한실용무용총연맹||||비영리법인|||양구군 양구읍 하리 종합운동장 2층 |사단법인||||||(사)대한실용무용총연맹||||210104
문화소사이어티||||비영리법인|||중구 쌍림동 151-9|사단법인||||||(사)문화소사이어티|대흥빌딩 601호|||210104
한국인형극협회||||비영리법인|||강동구 암사동 116-32|사단법인||||||(사)한국인형극협회||||210104
대한살사협회||||비영리법인|||부평구 십정동 476-1|사단법인||||||(사)대한살사협회||||210104
서울국제문화교류회||||비영리법인|||서초구 방배3동 1007-2|사단법인||||||(사)서울국제문화교류회|201호|||210104
한국소극장오페라연합회||||비영리법인|||강남구 논현동 50-7|사단법인||||||(사)한국소극장오페라연합회|진빌딩 4층|||210104
페스티벌/봄||||비영리법인|||종로구 관철동 12-2|사단법인||||||(사)페스티벌 봄|6층|||210104
국립예술단체연합회||||비영리법인||서초구 남부순환로 2406||사단법인||||||(사)국립예술단체연합회|예술의전당내 (우: 06757)|||210104
월드하모니||||비영리법인|||서초구 서초동 1586-6|사단법인||||||(사)월드하모니|세경빌딩 4층|||210104
나눔문화예술협회||||비영리법인|||강남구 역삼1동 832-1|사단법인||||||(사)나눔문화예술협회|정촌빌딩 301호|||210104
한국기타문예원||||비영리법인||성남시 분당구 탄천로 215탄천종합운동장 체육회관 B1 ||사단법인||||||(사)한국기타문예원||||210104
한국프로사진협회||||비영리법인|||서울 광진구 중곡동 132-21|사단법인||||||한국프로사진협회|(우: 04930)|||210104
현대미술관회||||비영리법인|||경기도 과천시 막계동 국립현대미술관내 (우: 13829) |사단법인||||||현대미술관회||||210104
