##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@GS25
GS25|수성신매점|35.83436563|128.70955041|GS25||대구 수성구 달구벌대로650길 47||cafe25;instant;drug;post;withdrawal||||||GS25 수성신매점|(신매동 130-1)|||90702
GS25|수성유원지점|35.82709762|128.62230602|GS25||대구 수성구 수성못길 26||cafe25;drug;withdrawal||||||GS25 수성유원지점|(두산동 653-3)|||90702
GS25|수성으뜸점|35.85453174|128.61924317|GS25||대구 수성구 명덕로 455||instant;drug;post;withdrawal||||||GS25 수성으뜸점|101동 103호 (수성동3가 57,수성3가롯데캐슬아파트)|||90702
GS25|수성한아름점|35.85713745|128.61203352|GS25||대구 수성구 달구벌대로458길 62||cafe25;instant;drug;post;withdrawal||||||GS25 수성한아름점|1층 (수성동1가 106-20)|||90702
GS25|수성협화점|35.83791846|128.70774458|GS25||대구 수성구 신매로 91||instant;drug;post||||||GS25 수성협화점|112동 102호 (신매동 570,삼주상가)|||90702
GS25|수성황금점|35.84661879|128.6226024|GS25||대구 수성구 희망로 215||cafe25;instant;drug;post;withdrawal||||||GS25 수성황금점|101,102호 (황금동 687-1,칸타빌황금)|||90702
GS25|수성희망점|35.84894023|128.61285619|GS25||대구 수성구 수성로 261||cafe25;instant;drug;post;withdrawal;smart_atm||||||GS25 수성희망점|(수성동1가 525-4)|||90702
GS25|수송사랑점|35.96345866|126.71786842|GS25||전북 군산시 수송안6길 12||cafe25;instant;drug;post;withdrawal;self_cook||||||GS25 수송사랑점|(수송동 861)|||90702
GS25|수송오투점|35.96221739|126.7105275|GS25||전북 군산시 축동로 33||cafe25;instant;drug;post;withdrawal||||||GS25 수송오투점|상가 101호,102호 (수송동 791)|||90702
GS25|수송중앙점|35.96100425|126.7167441|GS25|||전북 군산시 수송동 857-1|cafe25;instant;drug;post;withdrawal;self_cook||||||GS25 수송중앙점||||90702
GS25|수송타운점|35.96787984|126.71834018|GS25||전북 군산시 수송동로 91||drug;post;withdrawal||||||GS25 수송타운점|상가 103호 (수송동 829-2,수송아이파크아파트)|||90702
GS25|수송타워점|37.57415746|126.98127221|GS25||서울 종로구 율곡로4길 63||cafe25;bakery;drug;post;withdrawal||||||GS25 수송타워점|(1층,106호,수송타워) (수송동 51-8,G타워)|||90702
GS25|수송하이점|35.96000746|126.71455421|GS25|||전북 군산시 수송동 824-8|cafe25;instant;drug;post;withdrawal;self_cook||||||GS25 수송하이점|102호|||90702
GS25|수송행복점|35.96541606|126.71802524|GS25||전북 군산시 동수송2길 22||cafe25;drug;post;withdrawal||||||GS25 수송행복점|(수송동 844-1)|||90702
GS25|수신공단점|36.74368593|127.27125624|GS25||충남 천안시 동남구 수신면 5산단로 180||cafe25;drug;withdrawal||||||GS25 수신공단점|(신풍리 159-4)|||90702
GS25|수안보연수원점|36.84436368|128.0067807|GS25||충북 충주시 수안보면 동진이1길 99||post||||||GS25 수안보연수원점|(안보리 480,하이서울수안보연수원)|||90702
GS25|수암르네상스점|37.36223519|126.87648305|GS25||경기 안산시 상록구 수암길 9||drug;post||||||GS25 수암르네상스점|101호 (수암동 500-8)|||90702
GS25|수영골드점|35.16434532|129.1128345|GS25||부산 수영구 광서로16번길 3||cafe25;instant;drug;post;withdrawal||||||GS25 수영골드점|(광안1동 693-9)|||90702
GS25|수영광서점|35.16469702|129.11085251|GS25||부산 수영구 광서로 36||cafe25;instant;drug;post;withdrawal||||||GS25 수영광서점|(광안동 715-11)|||90702
GS25|수영광안점|35.16686188|129.11656803|GS25||부산 수영구 수영로702번길 18||lotto;cafe25;drug;post;withdrawal;smart_atm||||||GS25 수영광안점|(광안3동 75-1)|||90702
GS25|수영광원점|35.16151102|129.10736265|GS25||부산 수영구 광일로 63||instant;drug;post||||||GS25 수영광원점|광안아파트상가 (광안1동 526-1,광원아파트)|||90702
GS25|수영센텀비스타점|35.16749485|129.12123095|GS25|||부산 수영구 민락동 778|cafe25;drug;post||||||GS25 수영센텀비스타점|센텀비스타1차 상가 B108호|||90702
GS25|수영재우점|35.16732467|129.11818798|GS25||부산 수영구 감포로 100||cafe25;drug;post;withdrawal||||||GS25 수영재우점|103호 (민락동 129-3,민락동카라디움주상복합)|||90702
GS25|수영팔도점|35.16807728|129.11672735|GS25||부산 수영구 수영로 707||drug;withdrawal||||||GS25 수영팔도점|(수영동 444-21)|||90702
GS25|수영하나점|35.16175329|129.11632259|GS25||부산 수영구 무학로 21||instant;drug;post;withdrawal||||||GS25 수영하나점|(광안동 113-16)|||90702
GS25|수영한서병원점|35.16049587|129.11289183|GS25||부산 수영구 수영로611번길 13||cafe25;instant;drug;post;withdrawal||||||GS25 수영한서병원점|(광안동 561-2)|||90702
GS25|수영현대점|35.16123033|129.12024493|GS25||부산 수영구 무학로 57||cafe25;drug;post;withdrawal||||||GS25 수영현대점|1층 (민락동 149-14)|||90702
GS25|수완사랑점|35.19165941|126.82443034|GS25||광주 광산구 임방울대로 356||instant;drug;post;withdrawal;smart_atm||||||GS25 수완사랑점|102호 (수완동 1077)|||90702
GS25|수완세영점|35.198934|126.81800036|GS25||광주 광산구 풍영로 294-23||cafe25;instant;drug;post;withdrawal||||||GS25 수완세영점|301동 107,108호 (장덕동 1111,수완세영리첼아파트)|||90702
GS25|수완아뜨리움점|35.19652357|126.82595249|GS25||광주 광산구 장덕로 160||cafe25;instant;post;withdrawal||||||GS25 수완아뜨리움점|107동 108호 (수완동 937,수완아뜨리움)|||90702
GS25|수완원룸점|35.18846308|126.8313168|GS25||광주 광산구 수완로50번길 55||cafe25;instant;drug;post;withdrawal;smart_atm||||||GS25 수완원룸점|(수완동 1600)|||90702
GS25|수완점|35.19160983|126.83048116|GS25||광주 광산구 수완로74번길 30-2||cafe25;instant;drug;post;withdrawal;smart_atm||||||GS25 수완점|(수완동 1377)|||90702
GS25|수원SK뷰점|37.30712438|126.98502131|GS25||경기 수원시 장안구 이목로 24||cafe25;instant;drug;post;withdrawal;jella_soft||||||GS25 수원SK뷰점|602동 107호,108호 (정자동)|||90702
GS25|수원감천점|37.29305191|127.0206023|GS25||경기 수원시 장안구 경수대로776번길 28||cafe25;drug;post;battery;atm;withdrawal;smart_atm||||||GS25 수원감천점|1층 (영화동 43-1)|||90702
GS25|수원경수로점|37.29701581|127.01398648|GS25||경기 수원시 장안구 경수대로853번길 4||cafe25;instant;drug;post||||||GS25 수원경수로점|1층 102호 (조원동 779-1,유래빌딩)|||90702
GS25|수원곡반정점|37.23414304|127.0244077|GS25||경기 수원시 권선구 경수대로54번길 58||toto;cafe25;drug;post;battery;withdrawal||||||GS25 수원곡반정점|(곡반정동 604-1)|||90702
GS25|수원교동점|37.27423977|127.01547884|GS25||경기 수원시 팔달구 행궁로 94-4||cafe25;drug;post;battery;withdrawal||||||GS25 수원교동점|1층 (교동 3-9)|||90702
