##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@농협생명
농협생명|선릉지점|315701|545026|농협생명|02-3453-3024|서울특별시 강남구 테헤란로 309||||||||농협생명 선릉지점|(역삼동,삼성제일빌딩) 4층|||40625
남서울농협|우면동지점|313131|539908|농협생명|02-3471-1521|서울특별시 서초구 중앙로 586||||||||남서울농협 우면동지점||||40625
남서울농협|교대역지점|313304|544051|농협생명|02-3472-1521|서울특별시 서초구 서초대로 326||||||||남서울농협 교대역지점||||40625
북서울농협|방학역지점|316099|563286|농협생명|02-3491-7200|서울특별시 도봉구 마들로 650||||||||북서울농협 방학역지점||||40625
양주축협|방학지점|315148|562907|농협생명|02-3491-9333|서울특별시 도봉구 도당로 76||||||||양주축협 방학지점||||40625
신도농협|용두지점|302186|558873|농협생명|02-353-4743|경기도 고양시 덕양구 용두로121번길 179||||||||신도농협 용두지점||||40625
신도농협|삼송유통센터지점|303036|561282|농협생명|02-358-7456|경기도 고양시 덕양구 동송로 20||||||||신도농협 삼송유통센터지점|2층|||40625
농협생명|명동지점|308851|551409|농협생명|02-362-7291|서울특별시 중구 서소문로 38||||||||농협생명 명동지점|센트럴타워 11층|||40625
농협생명|한성AM지점|309068|551674|농협생명|02-362-8177|서울특별시 서대문구 통일로 87||||||||농협생명 한성AM지점|NH농협생명빌딩 동관 2층|||40625
농협생명|서울AM지점|309068|551674|농협생명|02-362-8214|서울특별시 서대문구 통일로 87||||||||농협생명 서울AM지점|(미근동) NH농협생명빌딩 동관 5층|||40625
강서농협|가양지점|297824|552516|농협생명|02-3661-0241|서울특별시 강서구 강서로 489||||||||강서농협 가양지점||||40625
서울축산농협|염창동지점|300731|550300|농협생명|02-3663-1691|서울특별시 강서구 양천로 706||||||||서울축산농협 염창동지점||||40625
강서농협|발산지점|297403|550672|농협생명|02-3664-4611|서울특별시 강서구 강서로 300||||||||강서농협 발산지점||||40625
한국양봉농협|혜화역지점|311834|554004|농협생명|02-3674-5600|서울특별시 종로구 창경궁로 251||||||||한국양봉농협 혜화역지점||||40625
서서울농협|상암지점|302570|553343|농협생명|02-375-2762|서울특별시 마포구 월드컵북로 356||||||||서서울농협 상암지점|2층|||40625
서서울농협|수색지점|302741|554048|농협생명|02-376-0315|서울특별시 은평구 은평터널로 15-1||||||||서서울농협 수색지점||||40625
서울축산농협|북가좌지점|304149|553736|농협생명|02-376-1301|서울특별시 서대문구 증가로25길 33||||||||서울축산농협 북가좌지점||||40625
농협생명|고객센터|309068|551674|농협생명|02-3786-7443|서울특별시 서대문구 통일로 87||||||||농협생명 고객센터|(미근동) NH농협생명빌딩 동관 3층|||40625
농협생명|수도권여신센터|309068|551674|농협생명|02-3786-8516|서울특별시 서대문구 통일로 87||||||||농협생명 수도권여신센터|(미근동) NH농협생명빌딩 동관 3층|||40625
고양축산농협|삼송지점|302845|561890|농협생명|02-381-6104|경기도 고양시 덕양구 삼송로205번길 6||||||||고양축산농협 삼송지점||||40625
신도농협||302632|561774|농협생명|02-381-7761|경기도 고양시 덕양구 삼송로 184||||||||신도농협||||40625
