##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@기아자동차오토큐
기아오토큐|중계점|127.0759887|37.6522262|기아자동차오토큐|029330004|서울특별시 노원구 덕릉로77길 6||||||||기아오토큐 중계점|중계동|||160412
기아오토큐|중곡점|127.086713|37.55841|기아자동차오토큐|024530915|서울특별시 광진구 긴고랑로 79||||||||기아오토큐 중곡점|(중곡동)|||160412
기아오토큐|청량리점|127.0513305|37.5836264|기아자동차오토큐|0222131421|서울특별시 동대문구 제기로 147||||||||기아오토큐 청량리점|(청량리동 38-2 외2필지)|||160412
기아오토큐|하계점|127.073987|37.633598|기아자동차오토큐|029798581|서울특별시 노원구 공릉로62길 25||||||||기아오토큐 하계점|하계동|||160412
기아오토큐|화곡점|126.8545837|37.5261332|기아자동차오토큐|0226955700|서울특별시 강서구 국회대로7길 149||||||||기아오토큐 화곡점|화곡동,기아자동차큐서비스|||160412
기아오토큐|애니모터스|127.0647917|37.5440056|기아자동차오토큐|024618585|서울특별시 성동구 아차산로13길 48||||||||기아오토큐 애니모터스|(성수동2가)|||160412
기아오토큐|한독자동차정비|127.0438232|37.6567506|기아자동차오토큐|029058585|서울특별시 도봉구 도봉로 618||||||||기아오토큐 한독자동차정비|(창동)|||160412
기아오토큐|가양점|126.8518583|37.5651861|기아자동차오토큐|0236618408|서울특별시 강서구 허준로 78||||||||기아오토큐 가양점|가양동,기아자동차공업사|||160412
기아오토큐|개봉점|126.858068|37.483916|기아자동차오토큐|0236663636|서울특별시 구로구 개봉로 11||||||||기아오토큐 개봉점|개봉동|||160412
기아오토큐|공단써비스센터|126.8892611|37.4789583|기아자동차오토큐|028512001|서울특별시 구로구 구로동로 2||||||||기아오토큐 공단써비스센터|가리봉동,현대자동차AS센타|||160412
기아오토큐|공항점|126.8141639|37.5545694|기아자동차오토큐|0226661259|서울특별시 강서구 송정로 24||||||||기아오토큐 공항점|공항동,기아자동차큐서비스|||160412
기아오토큐|구로점|126.8777542|37.5002564|기아자동차오토큐|0220691900|서울특별시 구로구 구로중앙로40길 32||||||||기아오토큐 구로점|(신도림동)|||160412
기아오토큐|구의점|127.0884111|37.5419778|기아자동차오토큐|024539998|서울특별시 광진구 광나루로 512||||||||기아오토큐 구의점|(구의동)|||160412
기아오토큐|길동점|127.14329|37.5389044|기아자동차오토큐|024748585|서울특별시 강동구 양재대로 1523||||||||기아오토큐 길동점|(천호동)|||160412
기아오토큐|내발산점|126.838554|37.549602|기아자동차오토큐|0236639337|서울특별시 강서구 강서로 312||||||||기아오토큐 내발산점|기아모터스 (내발산동)|||160412
기아오토큐|논현점|127.0409944|37.5146139|기아자동차오토큐|025547110|서울특별시 강남구 선릉로131길 26||||||||기아오토큐 논현점|(논현동)|||160412
기아오토큐|대림씨에스|127.046183|37.658082|기아자동차오토큐|05079592202|서울특별시 도봉구 도봉로140길 32||||||||기아오토큐 대림씨에스|(창동)|||160412
기아오토큐|대방점|126.924643|37.497209|기아자동차오토큐|028248122|서울특별시 동작구 상도로 19||||||||기아오토큐 대방점|대방동,기아자동차서비스센타|||160412
기아오토큐|대성자동차정비|126.8914611|37.4678722|기아자동차오토큐|028530300|서울특별시 금천구 벚꽃로 150||||||||기아오토큐 대성자동차정비|(독산동)|||160412
기아오토큐|대일차사랑자동차|127.0763959|37.5908584|기아자동차오토큐|024377979|서울특별시 중랑구 중랑천로14길 24||||||||기아오토큐 대일차사랑자동차|3,13 중화동,대일자동차공업사|||160412
기아오토큐|대치점|127.066618|37.502517|기아자동차오토큐|025588581|서울특별시 강남구 역삼로 559||||||||기아오토큐 대치점|(대치동)|||160412
기아오토큐|독립문점|126.958491|37.573208|기아자동차오토큐|027224849|서울특별시 종로구 통일로 272||||||||기아오토큐 독립문점|무악동|||160412
기아오토큐|면목남부점|127.082111|37.581432|기아자동차오토큐|024962580|서울특별시 중랑구 동일로 604||||||||기아오토큐 면목남부점|면목동|||160412
기아오토큐|면목점|127.0833361|37.5885028|기아자동차오토큐|024338585|서울특별시 중랑구 봉우재로 74||||||||기아오토큐 면목점|면목동,기아자동차서비스|||160412
기아오토큐|방배점|126.99293|37.484185|기아자동차오토큐|025968585|서울특별시 서초구 서초대로 77||||||||기아오토큐 방배점|(방배동)|||160412
기아오토큐|방이점|127.115938|37.51043|기아자동차오토큐|024145585|서울특별시 송파구 백제고분로 477||||||||기아오토큐 방이점|(방이동)|||160412
기아오토큐|번동점|127.0481262|37.6191993|기아자동차오토큐|029858285|서울 강북구 월계로 201||||||||기아오토큐 번동점|(번동 110번지)|||160412
기아오토큐|불광점|126.9305725|37.6217028|기아자동차오토큐|023889788|서울특별시 은평구 연서로 328||||||||기아오토큐 불광점|(불광동 105-1) 불광동|||160412
기아오토큐|삼전점|127.088931|37.499952|기아자동차오토큐|024125407|서울특별시 송파구 삼전로 44||||||||기아오토큐 삼전점|삼전동,덕원빌딩|||160412
기아오토큐|상계점|127.0677795|37.6556516|기아자동차오토큐|029378585|서울 노원구 노원로 472||||||||기아오토큐 상계점||||160412
기아오토큐|상도점|126.948143|37.4868539|기아자동차오토큐|028171188|서울특별시 관악구 양녕로16길 4||||||||기아오토큐 상도점|(봉천동)|||160412
기아오토큐|상신정비공업|126.9007336|37.4561493|기아자동차오토큐|028025551|서울특별시 금천구 시흥대로 287||||||||기아오토큐 상신정비공업|시흥동|||160412
기아오토큐|서교점|126.9208028|37.5524778|기아자동차오토큐|023332929|서울특별시 마포구 동교로 148||||||||기아오토큐 서교점|서교동|||160412
기아오토큐|서부역점|126.9713333|37.5481083|기아자동차오토큐|027143400|서울특별시 용산구 청파로 351||||||||기아오토큐 서부역점|서계동|||160412
기아오토큐|서빙고점|126.999625|37.5187028|기아자동차오토큐|027498887|서울 용산구 서빙고로 305||||||||기아오토큐 서빙고점||||160412
기아오토큐|서초남부점|127.0118667|37.4862361|기아자동차오토큐|025220427|서울특별시 서초구 서초대로42길 70||||||||기아오토큐 서초남부점|(서초동)|||160412
기아오토큐|서초점|127.0218472|37.486925|기아자동차오토큐|025687001|서울특별시 서초구 사임당로 90||||||||기아오토큐 서초점|(서초동)|||160412
기아오토큐|성내점|127.1349167|37.519725|기아자동차오토큐|024084955|서울특별시 강동구 강동대로 241||||||||기아오토큐 성내점|(성내동) 세기빌딩|||160412
기아오토큐|성수남부점|127.050929|37.543773|기아자동차오토큐|024623375|서울특별시 성동구 성수일로 57||||||||기아오토큐 성수남부점|(성수동1가)|||160412
기아오토큐|송일자동차공업|127.1286087|37.4808457|기아자동차오토큐|024041193|서울특별시 송파구 문정로4길 25||||||||기아오토큐 송일자동차공업|(문정동)|||160412
기아오토큐|신길남부점|126.907194|37.496294|기아자동차오토큐|028415582|서울특별시 영등포구 도림로 230||||||||기아오토큐 신길남부점|신길동|||160412
기아오토큐|신당점|127.0189806|37.5612222|기아자동차오토큐|0222318582|서울특별시 중구 다산로40길 15||||||||기아오토큐 신당점|1층 신당동,국일빌딩|||160412
기아오토큐|신월점|126.8338778|37.5273944|기아자동차오토큐|0226088588|서울특별시 양천구 남부순환로 420||||||||기아오토큐 신월점|신월동,기아빌딩|||160412
기아오토큐|신정남부점|126.874985|37.516418|기아자동차오토큐|0226497778|서울특별시 양천구 신목로 41||||||||기아오토큐 신정남부점|신정동|||160412
기아오토큐|신정북부점|126.8571611|37.5248694|기아자동차오토큐|0226923336|서울특별시 양천구 신정중앙로 29||||||||기아오토큐 신정북부점|신정동|||160412
기아오토큐|역삼점|127.043304|37.504614|기아자동차오토큐|025618285|서울특별시 강남구 언주로104길 15||||||||기아오토큐 역삼점|(역삼동)|||160412
기아오토큐|오류점|126.827492|37.486723|기아자동차오토큐|0226831626|서울특별시 구로구 경인로 22||||||||기아오토큐 오류점|오류동,지평회관|||160412
기아오토큐|월곡점|127.0525817|37.6042643|기아자동차오토큐|029698572|서울 성북구 화랑로 180||||||||기아오토큐 월곡점|(상월곡동)|||160412
기아오토큐|이촌점|127.45315277777777|37.16633888888889|기아자동차오토큐|027170242|서울특별시 용산구 이촌로2길 25||||||||기아오토큐 이촌점||||160412
기아오토큐|장안점|127.075349|37.576219|기아자동차오토큐|0222148582|서울특별시 동대문구 사가정로 254||||||||기아오토큐 장안점|장안동|||160412
기아오토큐|청담점|127.050603|37.52086|기아자동차오토큐|0262418585|서울특별시 강남구 삼성로148길 10||||||||기아오토큐 청담점|(청담동)|||160412
기아오토큐|현대강남서비스|127.0431439|37.4720393|기아자동차오토큐|025751900|서울특별시 서초구 마방로 26||||||||기아오토큐 현대강남서비스|(양재동),현대기아자동차서비스|||160412
기아오토큐|화곡북부점|126.855021|37.549433|기아자동차오토큐|0226951651|서울특별시 강서구 까치산로 167||||||||기아오토큐 화곡북부점|화곡동,기아자동차서비스|||160412
기아오토큐|화곡서부점|126.839901|37.528929|기아자동차오토큐|0226081700|서울특별시 강서구 강서로17길 150||||||||기아오토큐 화곡서부점|화곡동,기아자동차큐서비스|||160412
기아오토큐|도곡공업사|127.04747|37.4842345|기아자동차오토큐|025757666|서울특별시 강남구 남부순환로381길 45||||||||기아오토큐 도곡공업사|(도곡동)|||160412
기아오토큐|미삼모터스|127.032689|37.608445|기아자동차오토큐|029800430|서울특별시 강북구 도봉로 20||||||||기아오토큐 미삼모터스|미아동|||160412
기아오토큐|성우자동차공업|127.049227|37.54854|기아자동차오토큐|024981885|서울특별시 성동구 왕십리로16길 26||||||||기아오토큐 성우자동차공업|(성수동1가),성우자동차공업 (주)|||160412
기아오토큐|영등포점|126.906475|37.5225861|기아자동차오토큐|0226768581|서울 영등포구 국회대로 636||||||||기아오토큐 영등포점||||160412
기아오토큐|동남모터스|127.0365556|37.5570556|기아자동차오토큐|0222930626|서울 성동구 행당동 고산자로 224||||||||기아오토큐 동남모터스|(행당동)|||160412
기아오토큐|목동한신모터스|126.8920593|37.5372582|기아자동차오토큐|0226789100|서울특별시 영등포구 양평로28길 1||||||||기아오토큐 목동한신모터스|(양평동6가),한신자동차|||160412
기아오토큐|천호점|127.128431|37.544908|기아자동차오토큐|024778572|서울특별시 강동구 올림픽로 741||||||||기아오토큐 천호점|(천호동)|||160412
기아오토큐|한남써비스|127.008583|37.531079|기아자동차오토큐|027019601|서울특별시 용산구 한남대로21길 23||||||||기아오토큐 한남써비스||||160412
기아오토큐|일원점|||기아자동차오토큐|024455285|서울특별시 강남구 개포로140길 24||||||||기아오토큐 일원점|(일원동)|||160412
기아오토큐|강남하이모터스|127.0512237|37.4713877|기아자동차오토큐|025792900|서울특별시 강남구 논현로10길 7||||||||기아오토큐 강남하이모터스|(개포동)|||160412
기아오토큐|강동종합서비스|||기아자동차오토큐|024771123|서울특별시 강동구 성내로 60||||||||기아오토큐 강동종합서비스||||160412
기아오토큐|강일점|127.1735305|37.5561926|기아자동차오토큐|024298211|서울특별시 강동구 상일로 134||||||||기아오토큐 강일점|(강일동 711번지)|||160412
기아오토큐|구로모터스|126.8597412|37.4923065|기아자동차오토큐|0226879300|서울특별시 구로구 개봉로 23가길 26||||||||기아오토큐 구로모터스|(개봉동 206-2)|||160412
기아오토큐|마곡종합서비스|||기아자동차오토큐|0236621371|서울특별시 강서구 남부순환로 223-29||||||||기아오토큐 마곡종합서비스||||160412
기아오토큐|마포국도서비스|||기아자동차오토큐|023767900|서울특별시 마포구 월드컵로 200||||||||기아오토큐 마포국도서비스|(성산동)|||160412
기아오토큐|방학점|127.0516357|37.6590465|기아자동차오토큐|029553733|서울특별시 도봉구 방학로 35||||||||기아오토큐 방학점||||160412
기아오토큐|방화점|126.8191146|37.5695828|기아자동차오토큐|0226614595|서울특별시 강서구 방화대로 354||||||||기아오토큐 방화점||||160412
기아오토큐|봉천점|126.9401168|37.4818532|기아자동차오토큐|028898282|서울특별시 관악구 봉천로 342||||||||기아오토큐 봉천점||||160412
기아오토큐|삼성점|127.0501556|37.5089756|기아자동차오토큐|025158840|서울특별시 강남구 봉은사로 441||||||||기아오토큐 삼성점|(삼성동)|||160412
기아오토큐|세진모터스|127.0243835|37.464488|기아자동차오토큐|025711817|서울특별시 서초구 성촌4길 19||||||||기아오토큐 세진모터스|(우면동)|||160412
기아오토큐|오금점|127.1347427|37.5038222|기아자동차오토큐|024021208|서울특별시 송파구 중대로 294||||||||기아오토큐 오금점|(오금동)|||160412
기아오토큐|자양점|||기아자동차오토큐|0234368585|서울특별시 광진구 자양로 46||||||||기아오토큐 자양점||||160412
기아오토큐|잠원동부점|127.0077362|37.5089329|기아자동차오토큐|025935353|서울특별시 서초구 신반포로23길 78-9||||||||기아오토큐 잠원동부점||||160412
기아오토큐|북강릉서비스|128.8884277|37.7737885|기아자동차오토큐|0336477233|강원 강릉시 율곡로 3081||||||||기아오토큐 북강릉서비스||||160412
기아오토큐|문막점|127.834125|37.3169444|기아자동차오토큐|0337359997||강원 원주시 문막읍 건등리 194-4|||||||기아오토큐 문막점||||160412
기아오토큐|교1동점|128.8866049|37.7534535|기아자동차오토큐|0336448272|강원도 강릉시 강릉대로 127-1||||||||기아오토큐 교1동점|교동|||160412
기아오토큐|포남점|128.9172843|37.773279|기아자동차오토큐|0336538572|강원도 강릉시 강릉대로 489||||||||기아오토큐 포남점|포남동|||160412
기아오토큐|입암점|128.913973|37.746977|기아자동차오토큐|0336428241|강원도 강릉시 입암로 8||||||||기아오토큐 입암점|입암동|||160412
기아오토큐|주문진점|128.8259034|37.8959729|기아자동차오토큐|0336629888|강원도 강릉시 주문진읍 연주로 526||||||||기아오토큐 주문진점||||160412
기아오토큐|해광자동차정비|128.5058083|38.3567639|기아자동차오토큐|0336317001|강원도 고성군 죽왕면 선유담길 68||||||||기아오토큐 해광자동차정비||||160412
기아오토큐|천곡점|129.1139373|37.5152769|기아자동차오토큐|0335338572|강원도 동해시 동굴2길 1||||||||기아오토큐 천곡점|천곡동,기아모터스|||160412
