##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@교촌치킨
교촌치킨|중계역점|||교촌치킨|02-978-9255,978-9252|서울 노원구 동일로 1279|서울 노원구 중계2동 503|||||||교촌치킨 중계역점|(중계동)|||80607
교촌치킨|하계1호점|||교촌치킨|02-976-4882|서울 노원구 한글비석로 89|서울 노원구 하계1동 251|||||||교촌치킨 하계1호점|101호 (하계동);청구상가 201동 101호|||80607
교촌치킨|도봉동점|||교촌치킨|02-956-8892|서울 도봉구 마들로 689|서울 도봉구 도봉2동 623-163|||||||교촌치킨 도봉동점||||80607
교촌치킨|쌍문1호점|||교촌치킨|02-955-7999,3492-6999|서울 도봉구 도당로 36|서울 도봉구 방학1동 263-75|||||||교촌치킨 쌍문1호점|재인상가 106호|||80607
교촌치킨|쌍문역점|||교촌치킨|02-905-9292,9294|서울 도봉구 도봉로 505|서울 도봉구 쌍문3동 88-127|||||||교촌치킨 쌍문역점||||80607
교촌치킨|창3동점|||교촌치킨|02-999-5222|서울 도봉구 덕릉로 264|서울 도봉구 창동 568-2|||||||교촌치킨 창3동점||||80607
교촌치킨|창동점|||교촌치킨|02-905-8292,8290|서울 도봉구 해등로 120|서울 도봉구 창5동 296-37|||||||교촌치킨 창동점||||80607
교촌치킨|경희대점|||교촌치킨|02-963-5353|서울 동대문구 경희대로3길 20|서울 동대문구 회기동 42-16|||||||교촌치킨 경희대점||||80607
교촌치킨|답십리1호점|||교촌치킨|02-2214-7782|서울 동대문구 전농로 65-1|서울 동대문구 답십리동 257-3|||||||교촌치킨 답십리1호점||||80607
교촌치킨|서울시립대점|||교촌치킨|02-2243-1560~1|서울 동대문구 전농로 189|서울 동대문구 전농1동 141-141|||||||교촌치킨 서울시립대점||||80607
교촌치킨|신이문점|||교촌치킨|02-963-9998,0209|서울 동대문구 신이문로 29-1|서울 동대문구 이문3동 237-114|||||||교촌치킨 신이문점||||80607
교촌치킨|안암점|||교촌치킨|02-923-3363|서울 동대문구 안암로 122|서울 동대문구 제기동 142-8|||||||교촌치킨 안암점||||80607
교촌치킨|장안1호점|||교촌치킨|02-2216-0092|서울 동대문구 한천로 229|서울 동대문구 전농3동 1-171|||||||교촌치킨 장안1호점||||80607
교촌치킨|장안2호점|||교촌치킨|02-2249-9599|서울 동대문구 장한로 69|서울 동대문구 장안동 375-3|||||||교촌치킨 장안2호점||||80607
교촌치킨|청량리역점|||교촌치킨|02-957-0001~2|서울 동대문구 왕산로 253|서울 동대문구 청량리동 50-3|||||||교촌치킨 청량리역점||||80607
교촌치킨|대방1호점|||교촌치킨|02-816-8999,9959|서울특별시 동작구 등용로 101|서울 동작구 대방동 20-25|||||||교촌치킨 대방1호점|한스빌 105호;한스빌 105호|||80607
교촌치킨|사당1호점|||교촌치킨|02-3477-9945~6|서울 동작구 사당로23길 2|서울 동작구 사당3동 155-2|||||||교촌치킨 사당1호점|1층;1F|||80607
교촌치킨|사당3호점|||교촌치킨|02-3471-9292,9282|서울 동작구 사당로 185-1|서울 동작구 사당동 220-119|||||||교촌치킨 사당3호점||||80607
교촌치킨|상도터널점|||교촌치킨|02-815-8833|서울 동작구 흑석로 5|서울 동작구 상도1동 587|||||||교촌치킨 상도터널점|(상도1동)|||80607
교촌치킨|신대방점|||교촌치킨|02-846-9992|서울 동작구 시흥대로 646|서울 동작구 신대방동 607-28|||||||교촌치킨 신대방점||||80607
교촌치킨|신대방삼거리점|||교촌치킨|02-823-1991|서울 동작구 여의대방로24길 129|서울 동작구 대방동 407-46|||||||교촌치킨 신대방삼거리점||||80607
교촌치킨|흑석1호점|||교촌치킨|02-814-3377|서울 동작구 흑석로 116|서울 동작구 흑석동 180-6|||||||교촌치킨 흑석1호점||||80607
교촌치킨|도화(서울)|||교촌치킨|02-715-9987|서울특별시 마포구 도화길 31|서울 마포구 도화동 179-8|||||||교촌치킨 도화(서울)|1,2층;1,2층|||80607
교촌치킨|망원2동점|||교촌치킨|02-3143-5575|서울 마포구 월드컵로 151|서울 마포구 망원2동 474-15|||||||교촌치킨 망원2동점||||80607
교촌치킨|상암점|||교촌치킨|02-309-2500|서울 마포구 월드컵북로 48길 14|서울 마포구 상암동 34-45|||||||교촌치킨 상암점||||80607
교촌치킨|성산2동점|||교촌치킨|02-373-9909|서울 마포구 월드컵로 190|서울 마포구 성산동 592|||||||교촌치킨 성산2동점||||80607
교촌치킨|신공덕점|||교촌치킨|02-703-9919|서울 마포구 만리재로 74|서울 마포구 신공덕동 159|||||||교촌치킨 신공덕점|1동 109호;(신공덕 래미안상가 1동109호)|||80607
교촌치킨|신수점|||교촌치킨|02-704-6364|서울 마포구 독막로 209|서울 마포구 신수동 451|||||||교촌치킨 신수점|(신수동,세양청마루아파트);세양청마루아파트 상가 101호|||80607
교촌치킨|아현점|||교촌치킨|02-363-9993|서울 마포구 마포대로 195|서울 마포구 아현동 774|||||||교촌치킨 아현점|(마포래미안 푸르지오 101동 상가 114호);마포래미안 푸르지오 101동 상가 114호|||80607
교촌치킨|연남점|||교촌치킨|02-323-1997|서울 마포구 연남로 45|서울 마포구 연남동 369-20|||||||교촌치킨 연남점||||80607
교촌치킨|홍대점|||교촌치킨|02-338-1300,338-1307|서울 마포구 양화로16길 6|서울 마포구 서교동 371-3|||||||교촌치킨 홍대점||||80607
교촌치킨|독립문점|||교촌치킨|02-392-6668|서울 서대문구 통일로 153-1|서울 서대문구 냉천동 228|||||||교촌치킨 독립문점|(냉천동)|||80607
교촌치킨|명지대점|||교촌치킨|02-305-9996|서울 서대문구 거북골로 57-1|서울 서대문구 남가좌동 344-7|||||||교촌치킨 명지대점||||80607
교촌치킨|북가좌1호점|||교촌치킨|02-304-3003,3053|||||||||교촌치킨 북가좌1호점||||80607
교촌치킨|북아현1호점|||교촌치킨|02-393-5393|서울 서대문구 북아현로 40|서울 서대문구 북아현동 1006|||||||교촌치킨 북아현1호점||||80607
교촌치킨|신촌점|||교촌치킨|02-312-1991|서울 서대문구 명물길 21|서울 서대문구 창천동 41-14|||||||교촌치킨 신촌점||||80607
교촌치킨|연희1호(서울)|||교촌치킨|02-334-7999|서울 서대문구 성산로 381|서울 서대문구 연희3동 344-26|||||||교촌치킨 연희1호(서울)||||80607
교촌치킨|홍은1호점|||교촌치킨|02-396-0111|서울 서대문구 세검정로 89|서울 서대문구 홍제동 279-52|||||||교촌치킨 홍은1호점||||80607
교촌치킨|홍은사거리점|||교촌치킨|02-3216-9989|서울 서대문구 통일로 473|서울 서대문구 홍제동 326-20|||||||교촌치킨 홍은사거리점||||80607
교촌치킨|반포1호점|||교촌치킨|02-533-9279,9179|서울 서초구 신반포로 22|서울 서초구 반포동 1053|||||||교촌치킨 반포1호점|H동 26호;H동 26호|||80607
교촌치킨|방배1호점|||교촌치킨|02-535-1991|서울 서초구 방배중앙로27길 2|서울 서초구 방배동 761-8|||||||교촌치킨 방배1호점||||80607
