,양산시,하북문화의집,경상남도 양산시 신평강변2길 8,055-382-5542,,2007. 11. 13,직영,하북문화의집,"32,000 ",1,월요일,10:00~20:00,10:00~18:00,10:00~18:00,-,409, - ,
,양산시,삼성문화의집,경상남도 양산시 북정동 531-1,055)365-1301,http://www.yangsan.go.kr,2006. 4. 7,직영,삼성동 주민센터,"19,152 ",4,월; 공휴일,10:00~20:00,10:00~18:00,10:00~18:00,-,297,"147,717,240 ",
경남 총계,,14,,,,,,,,,,,,,,,,
제주,제주시,일도1동문화의집,제주특별자치도 제주시 성지로 71(일도1동 1048-1),064)759-0396,,2005. 5. 26,직영,일도1동주민센터,"1,700 ",1,일; 공휴일,09:00~18:00,09:00~18:00,-,-,585,"18,187,000 ",
,제주시,일도2동문화의집,제주특별자치도 제주시 일도2동 161번지,064)728-4449,,2001. 9. 5,직영,일도2동주민센터,"14,580 ",1,토; 일; 공휴일,09:00~18:00,-,-,-,298.1,"20,000,000 ",
,제주시,이도2동문화의집,제주특별자치도 제주시 이도2동 1051-6,064)728-4503,,2000. 10. 5,직영,이도2동주민센터,"59,000 ",1,일; 공휴일,09:00~20:00,09:00~13:00,-,-,352,"55,320,000 ",
,제주시,삼도2동문화의집,제주특별자치도 제주시 관덕로6길 15 3층(삼도2동 108-15 3층),064)728-4562,,2003. 11. 15,직영,삼도2동주민센터,"11,202 ",1,일; 공휴일,09:00~18:00,-,-,-,368.69,"7,000,000 ",
,제주시,연동문화의집,제주특별자치도 제주시 신대로 101(연동),064)728-4839,,2001. 9. 5,직영 ,연동주민센터,"25,893 ",1,토; 일; 공휴일,09:00∼18:00,-,-,-,121.44,"12,000,000 ",
,제주시,봉개동문화의집,제주특별자치도 제주시 봉개북1길 15(봉개동),064)728-4742,,2000. 4. 20,직영,봉개동주민센터,"3,000 ",1,일; 공휴일,09:00~18:00,10:00~12:00,-,-,285.8,"10,216,000 ",
,제주시,용담2동문화의집,제주특별자치도 제주시 흥운길 27 용담2동주민센터 2층,064)728-4629,,2002. 10. 1,직영,용담2동주민센터,"16,468 ",2,일; 공휴일,09:00~18:00,09:00~13:00,-,-,531,"14,210,000 ",
,제주시,해안동문화의집,제주특별자치도 제주시 해안마을7길 1-1,064-728-4867,,2005. 5. 20,직영,노형동주민센터,"2,500 ",2,월; 공휴일,09:00~18:00,09:00~18:00,-,-,307.9," 17,673,000 ",
,제주시,하귀문화의집,제주특별자치도 제주시 애월읍 하귀리 1892-1,064)728-8818,,2003. 8. 1,직영,애월읍사무소,"7,706 ",2 ,월; 공휴일,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,386.1,"43,000,000 ",
,제주시,신촌문화의집,제주특별자치도 제주시 조천읍 신촌서 5길 63,064)782-1241,caf?.duam.net/sinchon1241,1995. 10. 27,위탁,신촌리새마을작은도서관,"1,800 ",7,토; 일; 공휴일,16:00~21:00,-,-,-,625.72,"25,000,000 ",
,제주시,고산문화의집,제주특별자치도 제주시 한경면 칠전로 37,064)728-7913,http://www.jeju.go.kr/jumin/index.htm,2006. 3. 31,직영,"한경면
주민자치위원회","9,060 ",2,월,09:00,09:00,09:00,09:00,602.4, - ,
,서귀포시,성산일출문화의집,제주특별자치도 서귀포시 성산읍 고성오조로 133,064)783-4227,http://lib.seogwipo.go.kr/,1998. 6. 12,직영,성산일출도서관,"53,016 ",5,금; 명절; 1.1/12.31,08:00 ~22:00,08:00 ~22:00,08:00 ~22:00,08:00 ~22:00,338.5,"124,712,000 ",
,서귀포시,표선문화의집,제주특별자치도 서귀포시 표선면 표선백사로 110번길 17-10 (구. 표선리 40-65),064)482-3060,lib.seogwipo.go.kr,2002. 2. 22,직영,표선도서관,"53,445 ",5,금; 명절; 1.1/12.31,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,"1,926","10,200,000 ",
,서귀포시,안덕산방문화의집,제주특별자치도 서귀포시 안덕면 화순리 1963,064)760-3742,,2001. 1. 15,직영,안덕산방도서관,"60,940 ",1,금; 공휴일,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,381,-,
,서귀포시,보목문화의집,제주특별자치도 서귀포시 보목동 763,064)733-3508,,2003.1,직영,마을회,"2,080 ",15,토; 일; 공휴일,09:00~18:00,-,-,-,709,"17,750,000 ",
,서귀포시,중문문화의집,제주특별자치도 서귀포시 중문로 26번길 7,064)738-0069,,2003. 12. 30,직영,중문마을회,"5,400 ",1,일; 공휴일,16:00~20:00,13:00~17:00,-,-,166.9,"10,750,000 ",
,서귀포시,대륜문화의집,제주특별자치도 서귀포시 일주동로 9185(법환동) 2층,064)760-4757,,2005. 2. 3,직영,대륜동주민센터,"6,695 ",1,토; 일; 공휴일,09:00~18:00,-,-,-,560.46,-,
,서귀포시,무릉문화의집,제주특별자치도 서귀포시 대정읍 서삼중로 128,064)760-4096,,2005. 9. 26,직영,대정읍사무소,800 ,2,토;일; 공휴일,09:00~18:00,-,-,-,"1,658","24,000,000",
,서귀포시,위미문화의집,제주특별자치도 서귀포시 남원읍 위미리 2892,064)760-4198,,2005. 9. 12,직영,남원읍사무소,"2,100 ",2,월; 공휴일,09:00~20:00,09:00~20:00,09:00~20:00,-,246.6,"23,038,000 ",
제주 총계,,19,,,,,,,,,,,,,,,,
총계,,100,,,,,,,,,,,,,,,,
